"NAME","Total_adults_18_and_older","At_risk_adults_18_and_older","p_at_risk_adults","Total number, adults under age 60","Number at risk due to health conditions, adults under age 60","Share of adults under age 60 at risk","Total number, adults age 60 and older","Older adults, as a share of all at-risk adults"
"United States","258073390","105508720","0.409","181732900","29168230","0.161","76340490","0.724"
"Alabama","3810260","1756630","0.461","2620083","566450","0.216","1190170","0.678"
"Alaska","556390","196440","0.353","419878","59930","0.143","136510","0.695"
"Arizona","5497320","2320930","0.422","3810152","633770","0.166","1687160","0.727"
"Arkansas","2321220","1079560","0.465","1598536","356880","0.223","722680","0.669"
"California","30806310","11405140","0.37","22523811","3122640","0.139","8282500","0.726"
"Colorado","4444870","1616650","0.364","3242253","414030","0.128","1202610","0.744"
"Connecticut","2852650","1163280","0.408","1964143","274780","0.14","888500","0.764"
"Delaware","769120","337910","0.439","518403","87190","0.168","250720","0.742"
"District of Columbia","577410","178510","0.309","450099","51200","0.114","127310","0.713"
"Florida","17206330","7997800","0.465","11219768","2011240","0.179","5986560","0.749"
"Georgia","8074090","3189150","0.395","5873782","988850","0.168","2200310","0.69"
"Guam","107050","32560","0.304","88835","14350","0.162","18210","0.559"
"Hawaii","1122170","461390","0.411","770334","109550","0.142","351840","0.763"
"Idaho","1310470","542100","0.414","912172","143790","0.158","398300","0.735"
"Illinois","9910660","3930010","0.397","7044811","1064160","0.151","2865850","0.729"
"Indiana","5141870","2203010","0.428","3621951","683090","0.189","1519920","0.69"
"Iowa","2434240","1002750","0.412","1668131","236630","0.142","766110","0.764"
"Kansas","2212590","903980","0.409","1544045","235430","0.152","668540","0.74"
"Kentucky","3471410","1579790","0.455","2384137","492520","0.207","1087270","0.688"
"Louisiana","3595230","1553670","0.432","2551197","509640","0.2","1044030","0.672"
"Maine","1089320","514050","0.472","700623","125360","0.179","388690","0.756"
"Maryland","4750690","1911910","0.402","3376067","537290","0.159","1374620","0.719"
"Massachusetts","5539860","2160430","0.39","3872650","493230","0.127","1667210","0.772"
"Michigan","7830170","3389720","0.433","5371485","931030","0.173","2458680","0.725"
"Minnesota","4335800","1681520","0.388","3029819","375540","0.124","1305980","0.777"
"Mississippi","2279080","993440","0.436","1600203","314570","0.197","678880","0.683"
"Missouri","4762640","2079890","0.437","3301102","618360","0.187","1461530","0.703"
"Montana","834170","363300","0.436","551399","80520","0.146","282780","0.778"
"Nebraska","1460610","583600","0.4","1025529","148520","0.145","435080","0.746"
"Nevada","2376440","944030","0.397","1682170","249770","0.148","694270","0.735"
"New Hampshire","1095210","486830","0.445","738454","130070","0.176","356760","0.733"
"New Jersey","7078480","2818780","0.398","5008891","749200","0.15","2069580","0.734"
"New Mexico","1605610","687000","0.428","1099806","181190","0.165","505810","0.736"
"New York","15727230","6248460","0.397","11130182","1651410","0.148","4597050","0.736"
"North Carolina","8122850","3407310","0.419","5697079","981530","0.172","2425770","0.712"
"North Dakota","580620","220390","0.38","414022","53790","0.13","166600","0.756"
"Ohio","9110930","3956510","0.434","6239876","1085450","0.174","2871060","0.726"
"Oklahoma","2996630","1274750","0.425","2105639","383760","0.182","890990","0.699"
"Oregon","3336360","1447500","0.434","2299991","411130","0.179","1036370","0.716"
"Pennsylvania","10177680","4455250","0.438","6872191","1149760","0.167","3305490","0.742"
"Puerto Rico","2737640","1208050","0.441","1885209","355620","0.189","852430","0.706"
"Rhode Island","855850","363200","0.424","589646","96990","0.164","266200","0.733"
"South Carolina","4000770","1788480","0.447","2719708","507420","0.187","1281060","0.716"
"South Dakota","663690","268500","0.405","454877","59680","0.131","208820","0.778"
"Tennessee","5289400","2338210","0.442","3691691","740500","0.201","1597710","0.683"
"Texas","21475630","7827970","0.365","16091113","2443450","0.152","5384510","0.688"
"Utah","2238190","749470","0.335","1728836","240110","0.139","509360","0.68"
"Vermont","507040","220570","0.435","331180","44710","0.135","175860","0.797"
"Virginia","6675220","2618840","0.392","4758327","701950","0.148","1916890","0.732"
"Washington","5891910","2331160","0.396","4149456","588710","0.142","1742460","0.747"
"West Virginia","1438650","734590","0.511","937210","233150","0.249","501440","0.683"
"Wisconsin","4545490","1804220","0.397","3143755","402490","0.128","1401730","0.777"
"Wyoming","441870","179530","0.406","308190","45840","0.149","133680","0.745"
