votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff_pct,state_abbr,county_name,combined_fips
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Aleutians East,2013
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Aleutians West,2016
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Anchorage,2020
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Bethel,2050
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Bristol Bay,2060
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Denali,2068
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Dillingham,2070
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Fairbanks North Star,2090
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Haines,2100
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Juneau,2110
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Kenai Peninsula,2122
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Ketchikan Gateway,2130
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Kodiak Island,2150
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Lake and Peninsula,2164
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Matanuska-Susitna,2170
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Nome,2180
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,North Slope,2185
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Northwest Arctic,2188
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Sitka,2220
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Skagway-Hoonah-Angoon,2230
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Southeast Fairbanks,2240
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Valdez-Cordova,2261
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Wade Hampton,2270
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Wrangell-Petersburg,2275
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Yakutat,2282
93003,130413,246588,0.37715947248,0.528870018006,37410,15.17,AK,Yukon-Koyukuk,2290
5908,18110,24661,0.239568549532,0.734357893029,12202,49.48,AL,Autauga County,1001
18409,72780,94090,0.195653098098,0.773514719949,54371,57.79,AL,Baldwin County,1003
4848,5431,10390,0.466602502406,0.522714148219,583,5.61,AL,Barbour County,1005
1874,6733,8748,0.214220393233,0.769661636946,4859,55.54,AL,Bibb County,1007
