NAME,Total_EO,Total_Bills
United States,1505,870
Alabama,15,8
Alaska,27,13
Arizona,47,6
Arkansas,35,13
California,46,12
Colorado,62,1
Connecticut,41,0
Delaware,23,0
Florida,28,1
Georgia,40,4
Hawaii,18,8
Idaho,15,0
Illinois,44,1
Indiana,27,0
Iowa,13,2
Kansas,31,2
Kentucky,27,9
Louisiana,14,43
Maine,38,5
Maryland,43,7
Massachusetts,56,124
Michigan,74,53
Minnesota,48,84
Mississippi,24,1
Missouri,13,16
Montana,20,0
Nebraska,20,1
Nevada,19,0
New Hampshire,42,0
New Jersey,36,123
New Mexico,27,0
New York,25,133
North Carolina,18,15
North Dakota,39,0
Ohio,35,47
Oklahoma,18,2
Oregon,19,0
Pennsylvania,19,74
Rhode Island,28,3
South Carolina,24,9
South Dakota,19,3
Tennessee,22,3
Texas,34,0
Utah,27,15
Vermont,18,15
Virginia,16,4
Washington,46,5
West Virginia,34,0
Wisconsin,37,5
Wyoming,14,0
