CNTY,FIPS,MortalityRate2014
United States,NA,52.92
Alabama,01000,73.44
"Autauga County, Alabama",01001,81.79
"Baldwin County, Alabama",01003,54.28
"Barbour County, Alabama",01005,69.82
"Bibb County, Alabama",01007,84.49
"Blount County, Alabama",01009,87.05
"Bullock County, Alabama",01011,51.49
"Butler County, Alabama",01013,75.09
"Calhoun County, Alabama",01015,87.32
"Chambers County, Alabama",01017,84
"Cherokee County, Alabama",01019,93.04
"Chilton County, Alabama",01021,88.02
"Choctaw County, Alabama",01023,60.19
"Clarke County, Alabama",01025,69.3
"Clay County, Alabama",01027,76.28
"Cleburne County, Alabama",01029,92.84
"Coffee County, Alabama",01031,79.42
"Colbert County, Alabama",01033,80.43
"Conecuh County, Alabama",01035,76.4
"Coosa County, Alabama",01037,78.67
"Covington County, Alabama",01039,74.47
"Crenshaw County, Alabama",01041,107.91
"Cullman County, Alabama",01043,89.78
"Dale County, Alabama",01045,84.85
"Dallas County, Alabama",01047,65.59
"DeKalb County, Alabama",01049,101.83
"Elmore County, Alabama",01051,91.25
"Escambia County, Alabama",01053,67.63
"Etowah County, Alabama",01055,97.44
"Fayette County, Alabama",01057,86.07
"Franklin County, Alabama",01059,104.32
"Geneva County, Alabama",01061,78.8
"Greene County, Alabama",01063,57.38
"Hale County, Alabama",01065,61.15
"Henry County, Alabama",01067,71.04
"Houston County, Alabama",01069,66.9
"Jackson County, Alabama",01071,94.69
"Jefferson County, Alabama",01073,59.24
"Lamar County, Alabama",01075,89.17
"Lauderdale County, Alabama",01077,75.94
"Lawrence County, Alabama",01079,92.36
"Lee County, Alabama",01081,74.45
"Limestone County, Alabama",01083,64.91
"Lowndes County, Alabama",01085,55.88
"Macon County, Alabama",01087,45.36
"Madison County, Alabama",01089,61.87
"Marengo County, Alabama",01091,62.26
"Marion County, Alabama",01093,87.77
"Marshall County, Alabama",01095,105.63
"Mobile County, Alabama",01097,65.83
"Monroe County, Alabama",01099,64.72
"Montgomery County, Alabama",01101,68.04
"Morgan County, Alabama",01103,76.82
"Perry County, Alabama",01105,67.18
"Pickens County, Alabama",01107,63.94
"Pike County, Alabama",01109,72.77
"Randolph County, Alabama",01111,73.3
"Russell County, Alabama",01113,80.35
"Saint Clair County, Alabama",01115,91.5
"Shelby County, Alabama",01117,53.63
"Sumter County, Alabama",01119,51.49
"Talladega County, Alabama",01121,89.67
"Tallapoosa County, Alabama",01123,83.09
"Tuscaloosa County, Alabama",01125,71
"Walker County, Alabama",01127,119.7
"Washington County, Alabama",01129,64.48
"Wilcox County, Alabama",01131,65.03
"Winston County, Alabama",01133,109.56
