votes_dem,votes_gop,total_votes,dem_pct,gop_pct,diff_votes,diff_votes_pct,STATE_Abbreviation,NAME,FIPS,STATE,election_ldi.us
777,1376,2153,0.315,0.558,599,24.3,AK,Aleutians East,2013,Alaska,-4.484335010403965
1406,811,2217,0.57,0.329,595,24.1,AK,Aleutians West,2016,Alaska,-5.012636222019905
1023,1156,2179,0.415,0.469,133,5.4,AK,Anchorage,2020,Alaska,-4.658091204338998
1356,550,1906,0.55,0.223,806,32.7,AK,Bethel,2050,Alaska,-5.401522201325158
740,1457,2197,0.3,0.591,717,29.1,AK,Bristol Bay,2060,Alaska,-4.426877955379179
875,1304,2179,0.355,0.529,429,17.4,AK,Denali,2068,Alaska,-4.537705540926978
1282,853,2135,0.52,0.346,429,17.4,AK,Dillingham,2070,Alaska,-4.962255197727552
814,1329,2143,0.33,0.539,515,20.9,AK,Fairbanks North Star,2090,Alaska,-4.5189784018762795
1100,1004,2104,0.446,0.407,96,3.9,AK,Haines,2100,Alaska,-4.799880787342682
1309,853,2162,0.531,0.346,456,18.5,AK,Juneau,2110,Alaska,-4.962255197727552
644,1563,2207,0.261,0.634,919,37.3,AK,Kenai Peninsula,2122,Alaska,-4.3566450183480505
774,1359,2133,0.314,0.551,585,23.7,AK,Ketchikan Gateway,2130,Alaska,-4.496959163632362
848,1302,2150,0.344,0.528,454,18.4,AK,Kodiak Island,2150,Alaska,-4.539597689079016
952,858,1810,0.386,0.348,94,3.8,AK,Lake and Peninsula,2164,Alaska,-4.956491493010803
469,1741,2210,0.19,0.706,1272,51.6,AK,Matanuska-Susitna,2170,Alaska,-4.249078735292035
1265,700,1965,0.513,0.284,565,22.9,AK,Nome,2180,Alaska,-5.159719734624071
1159,853,2012,0.47,0.346,306,12.4,AK,North Slope,2185,Alaska,-4.962255197727552
1314,636,1950,0.533,0.258,678,27.5,AK,Northwest Arctic,2188,Alaska,-5.25573438786366
1176,1009,2185,0.477,0.409,167,6.8,AK,Sitka,2220,Alaska,-4.794978816742475
1319,681,2000,0.535,0.276,638,25.9,AK,Skagway-Hoonah-Angoon,2230,Alaska,-5.188293107068127
481,1753,2234,0.195,0.711,1272,51.6,AK,Southeast Fairbanks,2240,Alaska,-4.242021542982036
698,1408,2106,0.283,0.571,710,28.8,AK,Valdez-Cordova,2261,Alaska,-4.461304763129267
1457,486,1943,0.591,0.197,971,39.4,AK,Wade Hampton,2270,Alaska,-5.525490244047289
594,1650,2244,0.241,0.669,1056,42.8,AK,Wrangell-Petersburg,2275,Alaska,-4.302909912657048
1161,976,2137,0.471,0.396,185,7.5,AK,Yakutat,2282,Alaska,-4.8272797615307965
1408,735,2143,0.571,0.298,673,27.3,AK,Yukon-Koyukuk,2290,Alaska,-5.1116004862798725
5908,18110,24661,0.239568549532,0.734357893029,12202,49.48,AL,Autauga County,1001,Alabama,-4.209697470322885
18409,72780,94090,0.195653098098,0.773514719949,54371,57.79,AL,Baldwin County,1003,Alabama,-4.157749272637781
4848,5431,10390,0.466602502406,0.522714148219,583,5.61,AL,Barbour County,1005,Alabama,-4.549659219862413
1874,6733,8748,0.214220393233,0.769661636946,4859,55.54,AL,Bibb County,1007,Alabama,-4.162742987053981
2150,22808,25384,0.0846990230066,0.89851875197,20658,81.38,AL,Blount County,1009,Alabama,-4.007946396473379
3530,1139,4701,0.750904062965,0.242288874708,2391,50.86,AL,Bullock County,1011,Alabama,-5.318563261378062
