FIPS,State,County,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile
01000,Alabama,,36,,,
01001,Alabama,Autauga,33,28,40,1
01003,Alabama,Baldwin,31,28,34,1
01005,Alabama,Barbour,42,35,49,4
01007,Alabama,Bibb,38,30,46,3
01009,Alabama,Blount,34,28,40,1
01011,Alabama,Bullock,37,23,52,2
01013,Alabama,Butler,43,35,51,4
01015,Alabama,Calhoun,39,35,42,3
01017,Alabama,Chambers,40,33,48,3
01019,Alabama,Cherokee,35,28,42,2
01021,Alabama,Chilton,38,31,45,3
01023,Alabama,Choctaw,41,35,48,4
01025,Alabama,Clarke,34,28,41,1
01027,Alabama,Clay,41,31,50,4
01029,Alabama,Cleburne,37,29,46,3
01031,Alabama,Coffee,34,29,40,1
01033,Alabama,Colbert,31,26,36,1
01035,Alabama,Conecuh,43,33,53,4
01037,Alabama,Coosa,40,31,51,4
01039,Alabama,Covington,32,26,38,1
01041,Alabama,Crenshaw,38,30,47,3
01043,Alabama,Cullman,37,31,43,2
01045,Alabama,Dale,37,32,43,2
01047,Alabama,Dallas,43,39,47,4
01049,Alabama,DeKalb,29,25,34,1
01051,Alabama,Elmore,34,29,41,1
01053,Alabama,Escambia,39,33,46,3
01055,Alabama,Etowah,36,32,40,2
01057,Alabama,Fayette,41,34,49,4
01059,Alabama,Franklin,34,28,42,1
01061,Alabama,Geneva,39,31,46,3
01063,Alabama,Greene,36,25,47,2
01065,Alabama,Hale,40,34,47,4
01067,Alabama,Henry,36,28,45,2
01069,Alabama,Houston,38,34,42,3
01071,Alabama,Jackson,39,31,46,3
01073,Alabama,Jefferson,35,32,37,2
01075,Alabama,Lamar,36,28,44,2
01077,Alabama,Lauderdale,33,28,37,1
01079,Alabama,Lawrence,33,24,41,1
01081,Alabama,Lee,30,26,35,1
01083,Alabama,Limestone,34,28,40,1
01085,Alabama,Lowndes,47,39,55,4
01087,Alabama,Macon,50,38,62,4
01089,Alabama,Madison,33,30,37,1
01091,Alabama,Marengo,42,37,48,4
01093,Alabama,Marion,37,30,43,2
01095,Alabama,Marshall,34,29,41,2
01097,Alabama,Mobile,36,34,39,2
01099,Alabama,Monroe,42,34,49,4
01101,Alabama,Montgomery,38,34,41,3
01103,Alabama,Morgan,32,27,39,1
01105,Alabama,Perry,43,36,51,4
01107,Alabama,Pickens,35,28,43,2
01109,Alabama,Pike,36,29,43,2
01111,Alabama,Randolph,37,29,46,3
01113,Alabama,Russell,45,36,55,4
01115,Alabama,St. Clair,37,32,42,2
01117,Alabama,Shelby,35,31,39,2
01119,Alabama,Sumter,43,36,50,4
01121,Alabama,Talladega,39,34,43,3
01123,Alabama,Tallapoosa,36,31,42,2
01125,Alabama,Tuscaloosa,35,32,38,2
01127,Alabama,Walker,40,35,44,3
01129,Alabama,Washington,33,25,41,1
01131,Alabama,Wilcox,48,40,56,4
01133,Alabama,Winston,38,30,46,3
02000,Alaska,,33,,,
02013,Alaska,Aleutians East,51,40,62,
02016,Alaska,Aleutians West,44,37,52,4
02020,Alaska,Anchorage,32,29,34,2
02050,Alaska,Bethel,31,26,36,2
02060,Alaska,Bristol Bay,42,33,50,
02068,Alaska,Denali,25,19,33,1
02070,Alaska,Dillingham,36,29,43,3
02090,Alaska,Fairbanks North Star,30,27,33,2
02100,Alaska,Haines,27,20,35,1
02105,Alaska,Hoonah-Angoon,32,22,44,2
02110,Alaska,Juneau,27,24,31,1
02122,Alaska,Kenai Peninsula,33,29,36,2
02130,Alaska,Ketchikan Gateway,38,32,44,3
02150,Alaska,Kodiak Island,34,27,42,3
02158,Alaska,Kusilvak,23,16,32,1
02164,Alaska,Lake and Peninsula,38,29,47,3
02170,Alaska,Matanuska-Susitna,34,32,37,3
02180,Alaska,Nome,40,34,47,4
02185,Alaska,North Slope,40,34,46,4
02188,Alaska,Northwest Arctic,42,35,50,4
02195,Alaska,Petersburg,25,17,35,1
02198,Alaska,Prince of Wales-Hyder,45,35,56,4
02220,Alaska,Sitka,27,20,34,1
02230,Alaska,Skagway,33,21,46,
02240,Alaska,Southeast Fairbanks,33,28,38,3
02261,Alaska,Valdez-Cordova,35,29,42,3
02275,Alaska,Wrangell,43,32,54,4
02282,Alaska,Yakutat,32,17,51,
02290,Alaska,Yukon-Koyukuk,31,25,36,2
04000,Arizona,,28,,,
04001,Arizona,Apache,34,30,37,4
04003,Arizona,Cochise,30,27,33,2
04005,Arizona,Coconino,24,21,27,1
04007,Arizona,Gila,31,28,34,3
04009,Arizona,Graham,35,29,41,4
04011,Arizona,Greenlee,29,21,39,2
04012,Arizona,La Paz,30,22,39,2
04013,Arizona,Maricopa,27,26,28,1
04015,Arizona,Mohave,32,29,35,3
04017,Arizona,Navajo,34,31,37,4
04019,Arizona,Pima,25,24,27,1
04021,Arizona,Pinal,33,30,35,3
04023,Arizona,Santa Cruz,27,20,34,1
04025,Arizona,Yavapai,23,20,26,1
04027,Arizona,Yuma,37,32,42,4
05000,Arkansas,,34,,,
05001,Arkansas,Arkansas,31,24,39,1
05003,Arkansas,Ashley,43,35,51,4
05005,Arkansas,Baxter,34,29,39,2
05007,Arkansas,Benton,29,26,33,1
05009,Arkansas,Boone,34,28,41,2
05011,Arkansas,Bradley,46,35,59,4
05013,Arkansas,Calhoun,29,20,40,1
05015,Arkansas,Carroll,28,21,34,1
05017,Arkansas,Chicot,39,30,47,3
05019,Arkansas,Clark,27,19,36,1
05021,Arkansas,Clay,43,34,52,4
05023,Arkansas,Cleburne,37,29,45,3
05025,Arkansas,Cleveland,36,26,46,2
05027,Arkansas,Columbia,36,28,45,3
05029,Arkansas,Conway,37,29,46,3
05031,Arkansas,Craighead,38,33,44,3
05033,Arkansas,Crawford,35,29,42,2
05035,Arkansas,Crittenden,41,35,47,4
05037,Arkansas,Cross,39,30,48,3
05039,Arkansas,Dallas,39,27,51,3
05041,Arkansas,Desha,38,29,47,3
05043,Arkansas,Drew,41,32,50,4
05045,Arkansas,Faulkner,35,30,41,2
05047,Arkansas,Franklin,34,25,44,2
05049,Arkansas,Fulton,28,21,35,1
05051,Arkansas,Garland,30,25,34,1
05053,Arkansas,Grant,36,29,43,3
05055,Arkansas,Greene,36,29,44,3
05057,Arkansas,Hempstead,29,21,38,1
05059,Arkansas,Hot Spring,36,29,43,3
05061,Arkansas,Howard,45,35,54,4
05063,Arkansas,Independence,29,22,35,1
05065,Arkansas,Izard,35,27,42,2
05067,Arkansas,Jackson,43,31,55,4
05069,Arkansas,Jefferson,41,36,46,4
05071,Arkansas,Johnson,40,31,48,4
05073,Arkansas,Lafayette,46,35,57,4
05075,Arkansas,Lawrence,32,24,41,1
05077,Arkansas,Lee,39,31,48,4
05079,Arkansas,Lincoln,33,24,43,1
05081,Arkansas,Little River,38,29,48,3
05083,Arkansas,Logan,33,25,41,2
05085,Arkansas,Lonoke,43,36,50,4
05087,Arkansas,Madison,35,27,42,2
05089,Arkansas,Marion,29,23,36,1
05091,Arkansas,Miller,34,29,40,2
05093,Arkansas,Mississippi,41,35,47,4
05095,Arkansas,Monroe,39,26,51,3
05097,Arkansas,Montgomery,29,21,38,1
05099,Arkansas,Nevada,36,26,46,2
05101,Arkansas,Newton,32,24,41,1
05103,Arkansas,Ouachita,38,32,45,3
