"NAME","total_hosp_beds","hosp_beds_per_1000","total_CHCs","CHC_delivery_sites"
"United States","792417","2.43","1331","11606"
"Alabama","15278","3.13","15","144"
"Alaska","1636","2.23","27","193"
"Arizona","13846","1.93","20","188"
"Arkansas","9517","3.16","12","142"
"California","72511","1.84","177","1740"
"Colorado","10574","1.86","20","215"
"Connecticut","7194","2.01","16","290"
"Delaware","2101","2.18","3","17"
"District of Columbia","3114","4.44","8","66"
"Florida","54744","2.58","47","610"
"Georgia","25114","2.39","35","265"
"Hawaii","2749","1.94","14","73"
"Idaho","3396","1.94","14","115"
"Illinois","32066","2.52","44","402"
"Indiana","18156","2.71","25","197"
"Iowa","9423","2.99","14","80"
"Kansas","9659","3.32","18","91"
"Kentucky","14329","3.21","24","324"
"Louisiana","15272","3.28","34","287"
"Maine","3400","2.54","18","156"
"Maryland","11577","1.92","17","129"
"Massachusetts","15649","2.27","39","276"
"Michigan","24949","2.5","38","302"
"Minnesota","13895","2.48","16","87"
"Mississippi","12071","4.05","20","227"
"Missouri","18749","3.06","29","270"
"Montana","3542","3.34","14","65"
"Nebraska","6842","3.55","7","45"
"Nevada","6493","2.14","7","45"
"New Hampshire","2783","2.06","10","43"
"New Jersey","20901","2.35","23","129"
"New Mexico","3811","1.82","17","212"
"New York","51927","2.66","62","760"
"North Carolina","21549","2.08","40","264"
"North Dakota","3235","4.27","4","26"
"Ohio","33157","2.84","47","304"
"Oklahoma","11144","2.83","20","99"
"Oregon","6889","1.65","30","232"
"Pennsylvania","36730","2.87","43","306"
"Rhode Island","2187","2.07","8","52"
"South Carolina","12120","2.38","23","200"
"South Dakota","4183","4.76","4","48"
"Tennessee","19387","2.86","29","207"
"Texas","65671","2.29","72","537"
"Utah","5767","1.83","13","60"
"Vermont","1305","2.09","11","72"
"Virginia","18065","2.12","26","166"
"Washington","12774","1.7","27","349"
"West Virginia","6868","3.81","27","342"
"Wisconsin","12103","2.08","17","143"
"Wyoming","2015","3.49","6","14"
