FIPS,NAME,covid19_cases,covid19_deaths
36,New York,170512,7844
36001,Albany,426,14
36003,Allegany,26,0
36007,Broome,112,6
36009,Cattaraugus,18,0
36011,Cayuga,27,1
36013,Chautauqua,20,1
36015,Chemung,59,2
36017,Chenango,60,0
36019,Clinton,43,0
36021,Columbia,74,4
36023,Cortland,17,0
36025,Delaware,39,0
36027,Dutchess,1598,25
36029,Erie,1409,58
36031,Essex,10,0
36033,Franklin,11,0
36035,Fulton,18,0
36037,Genesee,65,0
36039,Greene,34,0
36041,Hamilton,3,0
36043,Herkimer,36,1
36045,Jefferson,43,0
36049,Lewis,6,0
36051,Livingston,29,1
36053,Madison,99,1
36055,Monroe,742,35
36057,Montgomery,29,1
36059,Nassau,21512,890
NA,New York City,92384,5663
36063,Niagara,156,1
36065,Oneida,172,2
36067,Onondaga,369,11
36069,Ontario,51,0
36071,Orange,4532,91
36073,Orleans,24,0
36075,Oswego,36,0
36077,Otsego,41,2
36079,Putnam,487,18
36083,Rensselaer,91,4
36087,Rockland,7122,135
36091,Saratoga,182,1
36093,Schenectady,191,9
36095,Schoharie,12,0
36097,Schuyler,5,0
36099,Seneca,15,0
36089,St. Lawrence,78,1
36101,Steuben,117,3
36103,Suffolk,18692,425
36105,Sullivan,318,7
36107,Tioga,18,0
36109,Tompkins,105,0
36111,Ulster,530,2
36113,Warren,43,1
36115,Washington,26,0
36117,Wayne,41,0
36119,Westchester,18077,428
36121,Wyoming,30,0
36123,Yates,2,0
