STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18
State,AL,State of emergency,Date closed K-12 schools,Closed day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses,Religious Gatherings Exempt Without Clear Social Distance Mandate*,Mandate face mask use by all individuals in public spaces,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Mandate face mask use by employees in public-facing businesses,Alcohol/Liquor Stores Open,Keep Firearms Sellers Open,Closed restaurants except take out,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Reopened hair salons/barber shops,Non-essential construction,Reopen Religious Gatherings,Reopen bars,Reclose Bars (2nd Closure),Stop Initiation of Evictions overall or due to COVID related issues,Stop enforcement of evictions overall or due to COVID related issues,Renter grace period or use of security deposit to pay rent,Order freezing utility shut offs,Froze mortgage payments,SNAP Waiver-Emergency Allotments to Current SNAP Households,SNAP Waiver-Pandemic EBT,SNAP Waiver-Temporary Suspension of Claims Collection,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,State previously allowed audio-only telehealth,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,Report testing by race/ethnicity,Report cases by race/ethnicity,Report hospitalizations by race/ethnicity,Report deaths by race/ethnicity,Stopped personal visitation in state prisons,Stopped in-person attorney visits in state prisons,Does not charge copays for incarcerated individuals,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,Waived all copays during pandemic for incarcerated individuals,Did not waive copays for incarcerated individuals,Suspended elective medical/dental procedures,Resumed elective medical procedures,"Prior to pandemic, no state unemployment waiting period; or date waiting period waived not found",Waived one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility to high-risk individuals in preventative quarantine,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Weekly unemployment insurance maximum amount (dollars),"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)",Unemployment insurance maximum duration (weeks),Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),Made Effort to Limit Abortion Access,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,Patients can receive 14-28 take-home doses of opioid medication,Home delivery of take-home medication by opioid treatment programs,Use of telemedicine for schedule II-V prescriptions,Exceptions to emergency oral prescriptions,Waive requirement to obtain separate DEA registration to dispense outside home state,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018
category,postcode,emergency,school_closure,day_care_closure,nursing_home_visit_ban,shelter,shelter,business_closure,business_closure,religious_exemption,public_masks,facemask_fine,facemask_cite,facemast_noenf,employee_masks,business_alcohol_exempt,business_firearm_exempt,restaurant_closure,restaurant_open,restaurant_outdoor,gym_closure,gym_open,theater_closure,theater_open,hair_open,construction_open,reopen_relig_gather,reopen_bars,reclose_bars_2,eviction_initiation,eviction_enforcement,renter_grace,utility_freeze,mortgage_freeze,snap_allotment,snap_ebt,snap_suspend,medicaid_1135_waivers,ACA_enrollment,audio_telehealth,medicaid_telehealth,elective_medical,races_test,race_cases,race_hospitalizations,race_deaths,visit_personal,visit_attorney,no_copays,waive_covidcopay,waive_allcopay,yes_copay,elective_medical,unemployment_waiting_prior,unemployment_waiting,unemployment_work_search,unemployment_for_care,unemployment_for_childcare,unemployment_highrisk,unemployment_extension,abortion_limit,ui_max_dollar,ui_max_dollar_extra,ui_max_week,ui_max_week_cares,abortion_limit,telemedicine_buprenorphine,opioid_dose,opioid_delivery,telemedicine_rx,emergency_oral,waive_rx_registration,paid_sick_leave,medicaid_expansion,population_density,population,area,homeless,unemployment,poverty,at_risk,all_cause_deaths
type,note,start,start,start,start,start,end,start,end,attribute,start,attribute,attribute,attribute,start,attribute,attribute,start,end,attribute,start,end,start,end,end,end,end,end,start,start,start,start,start,start,start,start,start,start,start,attribute,start,start,attribute,attribute,attribute,attribute,start,start,attribute,attribute,attribute,attribute,end,attribute,start,attribute,attribute,attribute,attribute,attribute,attribute,quantity,quantity,quantity,quantity,note,start,start,start,start,start,start,attribute,attribute,quantity,quantity,quantity,quantity,quantity,quantity,quantity,quantity
unit,text,date,date,date,date,date,date,date,date,flag,date,flag,flag,flag,date,flag,flag,date,date,flag,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,flag,date,date,flag,flag,flag,flag,date,date,flag,flag,flag,flag,date,flag,date,flag,flag,flag,flag,flag,flag,dollars,dollars,weeks,weeks,text,date,date,date,date,date,date,flag,flag,people/sq mi,people,sq mi,people,percent,percent,percent,people/year
Alabama,AL,3/13/20,3/19/20,3/20/20,3/19/20,4/4/20,4/30/20,3/28/20,4/30/20,0,0,0,0,0,5/11/20,1,1,3/19/20,5/11/20,0,3/28/20,5/11/20,3/28/20,5/22/20,5/11/20,0,5/11/20,5/11/20,0,0,4/3/20,0,0,0,3/24/20,4/21/20,0,3/23/20,0,0,3/22/20,3/16/20,0,1,0,1,3/14/20,0,0,0,1,0,3/19/20,4/30/20,0,3/16/20,1,1,0,0,0,275,875,26,39,1,0,0,0,3/20/20,0,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"54,352"
Alaska,AK,3/11/20,3/16/20,0,0,3/28/20,4/24/20,3/28/20,4/24/20,0,0,0,0,0,4/24/20,1,1,3/18/20,4/24/20,0,3/18/20,5/8/20,3/18/20,5/8/20,4/24/20,0,4/24/20,5/8/20,0,3/23/20,0,0,4/9/20,0,4/1/20,6/5/20,0,4/2/20,0,1,0,3/20/20,0,1,0,1,3/13/20,3/13/20,0,1,0,0,3/19/20,4/20/20,0,3/26/20,1,1,0,1,0,370,970,26,39,1,0,0,0,0,0,0,0,1,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,453"
Arizona,AZ,3/11/20,3/16/20,0,0,3/31/20,5/16/20,3/30/20,5/8/20,1,0,0,0,0,5/8/20,1,1,3/20/20,5/11/20,0,3/20/20,5/13/20,3/20/20,5/16/20,5/8/20,0,0,5/16/20,0,0,3/24/20,0,0,0,4/1/20,4/17/20,0,3/23/20,0,0,3/25/20,3/25/20,0,1,1,1,3/13/20,3/13/20,0,1,0,0,3/21/20,5/1/20,0,3/18/20,1,1,0,1,0,240,840,26,39,0,0,0,0,0,3/11/20,0,1,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"59,282"
Arkansas,AR,3/11/20,3/17/20,0,3/13/20,0,0,0,5/4/20,0,0,0,0,0,5/11/20,1,1,3/19/20,5/11/20,0,3/20/20,5/4/20,0,5/18/20,5/6/20,0,5/4/20,5/26/20,0,0,0,0,4/10/20,0,3/24/20,5/21/20,0,4/2/20,0,0,3/13/20,3/13/20,0,1,0,1,3/16/20,3/16/20,0,1,0,0,4/3/20,4/27/20,0,3/17/20,1,1,0,0,0,451,1051,20,33,1,0,0,0,0,0,0,0,1,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"32,336"
California,CA,3/4/20,0,0,0,3/19/20,0,3/19/20,5/8/20,0,6/18/20,0,0,1,5/5/20,1,0,3/19/20,0,0,3/19/20,0,3/19/20,0,0,4/28/20,6/12/20,0,0,3/27/20,0,0,4/2/20,0,3/30/20,4/23/20,0,3/23/20,3/20/20,0,3/30/20,3/18/20,0,1,0,1,3/11/20,4/8/20,1,0,0,0,3/19/20,4/22/20,0,3/12/20,1,1,0,0,0,450,1050,26,39,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"268,818"
Colorado,CO,3/11/20,3/23/20,0,3/12/20,3/26/20,4/27/20,3/26/20,5/1/20,1,0,0,0,0,4/23/20,1,1,3/17/20,5/27/20,0,3/17/20,6/4/20,3/17/20,6/18/20,5/1/20,0,4/26/20,6/18/20,0,0,0,0,3/20/20,0,4/1/20,5/16/20,4/10/20,3/26/20,3/20/20,0,4/1/20,3/20/20,0,1,0,1,3/11/20,0,0,1,0,0,3/23/20,4/27/20,0,3/20/20,0,0,0,0,0,618,1218,26,39,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"38,526"
