Date,Location,Pop_12_18,Pop_5_12,Vax512_total,Vax512_pct,Vax512_rate,Vax1218_total,Vax1218_pct,Vax1218_rate,Vax_pct,NAME,Population,Vax_total,Vax_rate
2022-01-04,US,25179869,28616445,4489398,0.15688175103511284,156.88175103511284,13563075,0.5386475600806343,538.6475600806343,62.2,United States,308745538,192039724.636,62200
2022-01-04,DC,32210,50626,10484,0.20708726741200173,207.08726741200172,20694,0.6424712822104937,642.4712822104937,67.8,District of Columbia,601723,407968.19399999996,67800
2022-01-04,CO,434253,493306,115854,0.23485220127061093,234.85220127061092,263553,0.6069111785065389,606.9111785065388,66.5,Colorado,5029196,3344415.3400000003,66500
2022-01-04,KS,239583,276507,36569,0.1322534330053127,132.2534330053127,112874,0.4711269163504923,471.1269163504923,57.2,Kansas,2853118,1631983.4960000003,57200
2022-01-04,AZ,568036,649966,72634,0.11175046079333381,111.75046079333381,284748,0.5012851298157159,501.28512981571595,57.2,Arizona,6392017,3656233.7240000004,57200
2022-01-04,MN,442894,510489,127975,0.25069100411566164,250.69100411566166,257580,0.5815838552791412,581.5838552791413,65.6,Minnesota,5303925,3479374.7999999993,65600
2022-01-04,KY,342382,391727,44163,0.11273922910598452,112.73922910598452,138493,0.4044984841492835,404.4984841492835,54.4,Kentucky,4339367,2360615.648,54400
2022-01-04,NC,786877,891034,125989,0.14139640013736848,141.3964001373685,364778,0.46357689956626,463.57689956626,56.9,North Carolina,9535483,5425689.827,56900
2022-01-04,WY,45245,53053,3906,0.07362448871882835,73.62448871882835,14429,0.31890816664824845,318.9081666482484,47.7,Wyoming,563626,268849.602,47700
2022-01-04,MO,467622,534733,61389,0.11480308864423927,114.80308864423927,190402,0.40717074902378414,407.17074902378414,53.1,Missouri,5988927,3180120.237,53100
2022-01-04,SD,70727,85530,12098,0.14144744534081607,141.44744534081607,30777,0.4351520635683685,435.1520635683685,57.3,South Dakota,814180,466525.13999999996,57300
2022-01-04,MD,453471,516478,119268,0.23092561541827533,230.92561541827533,317017,0.6990899087262471,699.0899087262471,70.6,Maryland,5773552,4076127.712,70600
2022-01-04,CA,3004506,3494522,654775,0.187371835117936,187.371835117936,1980205,0.659078397580168,659.0783975801679,66.4,California,37253956,24736626.784,66400
2022-01-04,NM,166237,188204,32652,0.17349259314361012,173.49259314361012,103826,0.6245661314869734,624.5661314869734,66.4,New Mexico,2059179,1367294.8560000001,66400
2022-01-04,NV,233157,272300,22610,0.08303341902313624,83.03341902313625,105408,0.45209022246812236,452.09022246812236,56.7,Nevada,2700551,1531212.4170000001,56700
2022-01-04,VA,630382,726247,183129,0.25215801235667756,252.15801235667757,419895,0.6660961131504389,666.0961131504389,68.2,Virginia,8001024,5456698.368000001,68200
2022-01-04,GA,879971,971868,72172,0.0742611136491787,74.2611136491787,330712,0.3758214759350024,375.8214759350024,51.2,Georgia,9687653,4960078.336,51200
2022-01-04,OK,320266,374893,32288,0.08612590792572813,86.12590792572813,132328,0.4131815428425122,413.18154284251216,53.7,Oklahoma,3751351,2014475.4870000002,53700
2022-01-04,MI,758749,825380,128872,0.15613656739925852,156.13656739925852,326314,0.43006844160585384,430.0684416058538,57,Michigan,9883640,5633674.8,57000
2022-01-04,IN,539597,615230,50721,0.0824423386375827,82.4423386375827,203131,0.3764494613572722,376.4494613572722,52.1,Indiana,6483802,3378060.842,52100
2022-01-04,WV,124247,142766,13012,0.09114214869086477,91.14214869086477,50675,0.40785693014720675,407.85693014720675,55.2,West Virginia,1852994,1022852.6880000001,55200
2022-01-04,CT,270150,277803,66975,0.24108810919968468,241.08810919968468,192351,0.71201554691837865,712.0155469183786,74.9,Connecticut,3574097,2676998.6530000004,74900
2022-01-04,WA,545102,665042,137156,0.2062365985907657,206.2365985907657,346171,0.6350572920297486,635.0572920297486,68.1,Washington,6724540,4579411.739999999,68100
2022-01-04,NE,157798,187880,30474,0.16219927613370236,162.19927613370237,79827,0.5058809363870265,505.88093638702645,60.1,Nebraska,1826341,1097630.9409999999,60100
2022-01-04,VT,40602,44472,19721,0.443447562511243,443.447562511243,31248,0.7696172602334861,769.617260233486,77.7,Vermont,625741,486200.75700000004,77700
2022-01-04,LA,362855,424723,16962,0.039936617513061455,39.93661751306146,126113,0.34755756431632473,347.5575643163247,50.4,Louisiana,4533372,2284819.488,50400
2022-01-04,PA,913459,1021622,183019,0.17914551566039102,179.14551566039103,468196,0.5125528348836674,512.5528348836674,64.1,Pennsylvania,12702379,8142224.938999998,64099.99999999999
2022-01-04,FL,1454084,1643946,168368,0.10241698936583075,102.41698936583076,738069,0.5075834683553357,507.58346835533575,63.5,Florida,18801310,11938831.85,63500
2022-01-04,MS,243679,272422,12898,0.0473456622446058,47.3456622446058,84280,0.34586484678614077,345.8648467861408,48.7,Mississippi,2967297,1445073.6390000002,48700
2022-01-04,ID,NA,NA,0,NA,NA,-825185,NA,NA,46.3,Idaho,1567582,725790.4659999999,46300
2022-01-04,NY,1361647,1536174,302472,0.19689956997058927,196.89956997058928,896571,0.65844598489917,658.44598489917,72,New York,19378102,13952233.44,72000
2022-01-04,OH,892016,1003818,141322,0.14078448483689274,140.78448483689274,365198,0.4094074545748058,409.4074545748058,55.4,Ohio,11536504,6391223.215999999,55400
2022-01-04,IA,248382,282201,44298,0.15697322121466614,156.97322121466615,113326,0.45625689462199354,456.2568946219935,59.2,Iowa,3046355,1803442.1600000001,59200
2022-01-04,AK,57344,71610,9981,0.13937997486384582,139.37997486384583,29138,0.5081263950892857,508.1263950892857,56.5,Alaska,710231,401280.51499999996,56500
2022-01-04,AR,239904,274126,24983,0.09113692243712745,91.13692243712745,101535,0.42323179271708683,423.2317927170868,51.4,Arkansas,2915918,1498781.852,51400
2022-01-04,TN,517554,582738,50761,0.08710775683068549,87.10775683068549,179720,0.3472487894982939,347.2487894982939,51.5,Tennessee,6346105,3268244.075,51500
2022-01-04,SC,378256,440992,37163,0.08427137000217691,84.27137000217691,151104,0.39947548750052875,399.47548750052874,53.3,South Carolina,4625364,2465319.0119999996,53300
2022-01-04,TX,2513412,2885987,325385,0.11274652311323648,112.74652311323648,1305298,0.5193330818823177,519.3330818823177,57.2,Texas,25145561,14383260.892,57200
2022-01-04,AL,371863,420095,16991,0.04044561349218629,40.44561349218629,115168,0.3097054560416067,309.7054560416067,47.8,Alabama,4779736,2284713.8079999997,47800
2022-01-04,DE,69164,79988,11728,0.14662199329899486,146.62199329899485,38369,0.5547539182233532,554.7539182233531,64.4,Delaware,897934,578269.496,64400.00000000001
2022-01-04,RI,72447,78006,24168,0.3098223213598954,309.8223213598954,53106,0.7330324237028448,733.0324237028449,76.8,Rhode Island,1052567,808371.456,76800
2022-01-04,NJ,677513,746523,141676,0.18978115878546273,189.78115878546274,441976,0.6523505822028507,652.3505822028507,70.7,New Jersey,8791894,6215869.058,70700
2022-01-04,MT,76816,90597,11658,0.12867975760786782,128.67975760786783,31510,0.41020099979171004,410.20099979171005,54.1,Montana,989415,535273.515,54100
2022-01-04,WI,447411,488394,91724,0.18780738502111,187.80738502111,219762,0.4911859565366073,491.1859565366073,62.2,Wisconsin,5686986,3537305.292,62200
2022-01-04,ND,55213,70308,8697,0.12369858337600273,123.69858337600273,21838,0.3955227935449985,395.5227935449985,52.8,North Dakota,672591,355128.048,52800
2022-01-04,UT,319094,366185,55092,0.15044854376886,150.44854376886,171351,0.5369922342632578,536.9922342632578,59,Utah,2763885,1630692.15,59000
