County,Region,Color
New York State,New York State,"black"
Albany,Capital District,"#d4dc55"
Allegany,Chautauqua-Alleghany,"#dbbc85"
Bronx,New York City,"#a8a8a8"
Broome,Central New York,"#e49632"
Cattaraugus,Chautauqua-Alleghany,"#dbbc85"
Cayuga,Finger Lakes,"#addb83"
Chautauqua,Chautauqua-Alleghany,"#dbbc85"
Chemung,Finger Lakes,"#addb83"
Chenango,Central New York,"#e49632"
Clinton,Adirondack,"#328ea3"
Columbia,Eastern Hudson Valley,"#7877a1"
Cortland,Finger Lakes,"#addb83"
Delaware,Catskill,"#a05047"
Dutchess,Eastern Hudson Valley,"#7877a1"
Erie,Niagara Frontier,"#84c6dc"
Essex,Adirondack,"#328ea3"
Franklin,Adirondack,"#328ea3"
Fulton,Adirondack,"#328ea3"
Genesee,Niagara Frontier,"#84c6dc"
Greene,Catskill,"#a05047"
Hamilton,Adirondack,"#328ea3"
Herkimer,Adirondack,"#328ea3"
Jefferson,Thousand Island,"#db848c"
Kings,New York City,"#a8a8a8"
Lewis,Adirondack,"#328ea3"
Livingston,Finger Lakes,"#addb83"
Madison,Central New York,"#e49632"
Manhattan,New York City,"#a8a8a8"
Monroe,Finger Lakes,"#addb83"
Montgomery,Central New York,"#e49632"
Nassau,Long Island,"#aa918d"
New York,New York City,"#a8a8a8"
Niagara,Niagara Frontier,"#84c6dc"
Oneida,Central New York,"#e49632"
Onondaga,Finger Lakes,"#addb83"
Ontario,Finger Lakes,"#addb83"
Orange,Eastern Hudson Valley,"#a05047"
Orleans,Niagara Frontier,"#84c6dc"
Oswego,Thousand Island,"#db848c"
Otsego,Central New York,"#e49632"
Putnam,Eastern Hudson Valley,"#7877a1"
Queens,New York City,"#a8a8a8"
Rensselaer,Capital District,"#d4dc55"
Richmond,New York City,"#a8a8a8"
Rockland,Catskill,"#a05047"
St. Lawrence,Thousand Island,"#db848c"
Saratoga,Capital District,"#d4dc55"
Schenectady,Capital District,"#d4dc55"
Schoharie,Central New York,"#e49632"
Schuyler,Finger Lakes,"#addb83"
Seneca,Finger Lakes,"#addb83"
Steuben,Finger Lakes,"#addb83"
Suffolk,Long Island,"#aa918d"
Sullivan,Catskill,"#a05047"
Tioga,Finger Lakes,"#addb83"
Tompkins,Finger Lakes,"#addb83"
Ulster,Catskill,"#a05047"
Warren,Adirondack,"#328ea3"
Washington,Adirondack,"#328ea3"
Wayne,Finger Lakes,"#addb83"
Westchester,Eastern Hudson Valley,"#7877a1"
Wyoming,Niagara Frontier,"#84c6dc"
Yates,Finger Lakes,"#addb83"
