FIPS,County,Population,test_date,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,case_rate
36001,Albany,305506,2020-04-30T00:00:00Z,39,1204,378,10688,0.003941002795362448
36003,Allegany,46091,2020-04-30T00:00:00Z,0,35,20,563,7.593673385259595e-4
36005,Bronx,1418207,2020-04-30T00:00:00Z,541,37785,2824,93055,0.026642796150350406
36007,Broome,190488,2020-04-30T00:00:00Z,15,299,110,2471,0.001569652681533745
36009,Cattaraugus,76117,2020-04-30T00:00:00Z,2,49,78,987,6.437458123678022e-4
36011,Cayuga,76576,2020-04-30T00:00:00Z,3,51,28,985,6.660050146259925e-4
36013,Chautauqua,126903,2020-04-30T00:00:00Z,2,35,47,1207,2.758012024932429e-4
36015,Chemung,83456,2020-04-30T00:00:00Z,1,123,54,1617,0.0014738305214723926
36017,Chenango,47207,2020-04-30T00:00:00Z,1,99,21,810,0.002097146609612981
36019,Clinton,80485,2020-04-30T00:00:00Z,2,61,48,796,7.579051997266571e-4
36021,Columbia,59461,2020-04-30T00:00:00Z,32,202,76,1378,0.0033971847093052588
36023,Cortland,47581,2020-04-30T00:00:00Z,0,28,31,1143,5.884701876799563e-4
36025,Delaware,44135,2020-04-30T00:00:00Z,0,61,24,753,0.0013821230316075678
36027,Dutchess,294218,2020-04-30T00:00:00Z,48,3002,443,15085,0.010203318627684234
36029,Erie,918702,2020-04-30T00:00:00Z,162,3481,905,17009,0.0037890414955012615
36031,Essex,36885,2020-04-30T00:00:00Z,0,28,27,390,7.591161718855904e-4
36033,Franklin,50022,2020-04-30T00:00:00Z,0,15,16,390,2.9986805805445605e-4
36035,Fulton,53383,2020-04-30T00:00:00Z,4,75,37,828,0.001404941648090216
36037,Genesee,57280,2020-04-30T00:00:00Z,1,154,29,1035,0.0026885474860335198
36039,Greene,47188,2020-04-30T00:00:00Z,8,139,47,1171,0.0029456641519030264
36041,Hamilton,4416,2020-04-30T00:00:00Z,0,3,2,40,6.793478260869565e-4
36043,Herkimer,61319,2020-04-30T00:00:00Z,2,60,28,820,9.784895383160195e-4
36045,Jefferson,109834,2020-04-30T00:00:00Z,0,61,37,1555,5.553835788553635e-4
36047,Kings,2559903,2020-04-30T00:00:00Z,647,45519,3927,115417,0.017781533128403693
36049,Lewis,26296,2020-04-30T00:00:00Z,0,9,4,318,3.4225737754791605e-4
36051,Livingston,62914,2020-04-30T00:00:00Z,4,73,43,1068,0.001160314079537146
36053,Madison,70941,2020-04-30T00:00:00Z,8,139,51,1266,0.00195937469164517
36055,Monroe,741770,2020-04-30T00:00:00Z,37,1478,579,14594,0.001992531377650754
36057,Montgomery,49221,2020-04-30T00:00:00Z,1,54,29,727,0.0010970927043335162
36059,Nassau,1356924,2020-04-30T00:00:00Z,307,36161,2108,97308,0.02664924490981072
36061,New York,5803210,2020-04-30T00:00:00Z,255,22175,2205,68807,0.00382116104707567
36063,Niagara,209281,2020-04-30T00:00:00Z,20,440,239,2783,0.0021024364371347616
36065,Oneida,228671,2020-04-30T00:00:00Z,12,451,149,3575,0.001972265831697067
36067,Onondaga,460528,2020-04-30T00:00:00Z,28,860,334,11001,0.0018674217420004864
36069,Ontario,109777,2020-04-30T00:00:00Z,1,91,91,1702,8.289532415715496e-4
36071,Orange,384940,2020-04-30T00:00:00Z,101,8751,787,28009,0.022733412999428482
36073,Orleans,40352,2020-04-30T00:00:00Z,3,92,23,651,0.002279936558287074
36075,Oswego,117124,2020-04-30T00:00:00Z,1,64,36,1628,5.464294252245484e-4
36077,Otsego,59493,2020-04-30T00:00:00Z,0,67,40,1286,0.0011261829122753938
36079,Putnam,98320,2020-04-30T00:00:00Z,20,990,144,4314,0.010069161920260375
36081,Queens,2253858,2020-04-30T00:00:00Z,643,52274,3689,124378,0.023193120418411452
36083,Rensselaer,158714,2020-04-30T00:00:00Z,11,298,101,3409,0.0018775911387779276
36085,Richmond,476143,2020-04-30T00:00:00Z,126,11937,849,34335,0.025070199498890038
36087,Rockland,325789,2020-04-30T00:00:00Z,104,11812,823,31416,0.036256595526552464
36089,St. Lawrence,107740,2020-04-30T00:00:00Z,3,176,157,1983,0.0016335622795619082
36091,Saratoga,229863,2020-04-30T00:00:00Z,4,358,171,5210,0.0015574494372735065
36093,Schenectady,155299,2020-04-30T00:00:00Z,13,514,195,4369,0.003309744428489559
36095,Schoharie,30999,2020-04-30T00:00:00Z,1,43,24,633,0.001387141520694216
36097,Schuyler,17807,2020-04-30T00:00:00Z,0,7,6,418,3.931038355702814e-4
36099,Seneca,34016,2020-04-30T00:00:00Z,2,41,22,497,0.0012053151458137348
36101,Steuben,95379,2020-04-30T00:00:00Z,0,216,42,2079,0.0022646494511370427
36103,Suffolk,1476601,2020-04-30T00:00:00Z,373,34037,2207,93568,0.023050912196321147
36105,Sullivan,75432,2020-04-30T00:00:00Z,42,880,122,3865,0.011666136387739952
36107,Tioga,48203,2020-04-30T00:00:00Z,2,90,19,903,0.0018671037072381387
36109,Tompkins,102180,2020-04-30T00:00:00Z,0,128,61,3572,0.001252691329027207
36111,Ulster,177573,2020-04-30T00:00:00Z,19,1298,336,8418,0.007309669825930744
36113,Warren,63944,2020-04-30T00:00:00Z,6,182,94,1467,0.0028462404604028524
36115,Washington,61204,2020-04-30T00:00:00Z,22,170,88,1093,0.002777596235540161
36117,Wayne,89918,2020-04-30T00:00:00Z,0,71,56,1295,7.896083097933673e-4
36119,Westchester,967506,2020-04-30T00:00:00Z,262,29232,1613,94442,0.030213766116179125
36121,Wyoming,39859,2020-04-30T00:00:00Z,1,68,16,584,0.0017060136982864598
36123,Yates,24913,2020-04-30T00:00:00Z,0,18,12,274,0.00072251434993778345
