county,deaths,date
New York State,7067,2020-04-10
Albany,7,2020-04-10
Allegany,1,2020-04-10
Bronx,1108,2020-04-10
Broome,6,2020-04-10
Cattaraugus,0,2020-04-10
Cayuga,1,2020-04-10
Chautauqua,1,2020-04-10
Chemung,1,2020-04-10
Chenango,0,2020-04-10
Clinton,0,2020-04-10
Columbia,4,2020-04-10
Cortland,1,2020-04-10
Delaware,1,2020-04-10
Dutchess,19,2020-04-10
Erie,43,2020-04-10
Essex,0,2020-04-10
Franklin,0,2020-04-10
Fulton,1,2020-04-10
Genesee,1,2020-04-10
Greene,0,2020-04-10
Hamilton,0,2020-04-10
Herkimer,3,2020-04-10
Jefferson,0,2020-04-10
Kings,1599,2020-04-10
Lewis,3,2020-04-10
Livingston,1,2020-04-10
Madison,2,2020-04-10
Manhattan,674,2020-04-10
Monroe,29,2020-04-10
Montgomery,1,2020-04-10
Nassau,633,2020-04-10
New York,5031,2020-04-10
Niagara,2,2020-04-10
Oneida,1,2020-04-10
Onondaga,7,2020-04-10
Ontario,0,2020-04-10
Orange,76,2020-04-10
Orleans,0,2020-04-10
Oswego,2,2020-04-10
Otsego,2,2020-04-10
Putnam,21,2020-04-10
Queens,1650,2020-04-10
Rensselaer,4,2020-04-10
Richmond,249,2020-04-10
Rockland,126,2020-04-10
St. Lawrence,1,2020-04-10
Saratoga,5,2020-04-10
Schenectady,7,2020-04-10
Schoharie,0,2020-04-10
Schuyler,0,2020-04-10
Seneca,0,2020-04-10
Steuben,5,2020-04-10
Suffolk,362,2020-04-10
Sullivan,6,2020-04-10
Tioga,0,2020-04-10
Tompkins,0,2020-04-10
Ulster,8,2020-04-10
Warren,0,2020-04-10
Washington,1,2020-04-10
Wayne,0,2020-04-10
Westchester,359,2020-04-10
Wyoming,1,2020-04-10
Yates,0,2020-04-10
Out of NY,0,2020-04-10
Unassigned,116,2020-04-10
New York State,7844,2020-04-11
Albany,8,2020-04-11
Allegany,1,2020-04-11
Bronx,1216,2020-04-11
Broome,6,2020-04-11
Cattaraugus,0,2020-04-11
Cayuga,2,2020-04-11
Chautauqua,1,2020-04-11
Chemung,1,2020-04-11
Chenango,0,2020-04-11
Clinton,0,2020-04-11
Columbia,4,2020-04-11
Cortland,1,2020-04-11
Delaware,1,2020-04-11
Dutchess,22,2020-04-11
Erie,54,2020-04-11
Essex,0,2020-04-11
Franklin,0,2020-04-11
Fulton,2,2020-04-11
Genesee,1,2020-04-11
Greene,0,2020-04-11
Hamilton,0,2020-04-11
Herkimer,3,2020-04-11
Jefferson,0,2020-04-11
Kings,1781,2020-04-11
Lewis,3,2020-04-11
Livingston,1,2020-04-11
Madison,2,2020-04-11
Manhattan,731,2020-04-11
Monroe,33,2020-04-11
Montgomery,2,2020-04-11
Nassau,723,2020-04-11
New York,5547,2020-04-11
Niagara,4,2020-04-11
Oneida,1,2020-04-11
Onondaga,7,2020-04-11
Ontario,0,2020-04-11
Orange,88,2020-04-11
Orleans,0,2020-04-11
Oswego,2,2020-04-11
Otsego,2,2020-04-11
Putnam,22,2020-04-11
Queens,1819,2020-04-11
Rensselaer,5,2020-04-11
Richmond,273,2020-04-11
Rockland,146,2020-04-11
St. Lawrence,1,2020-04-11
Saratoga,5,2020-04-11
Schenectady,7,2020-04-11
Schoharie,0,2020-04-11
Schuyler,0,2020-04-11
Seneca,0,2020-04-11
Steuben,5,2020-04-11
Suffolk,414,2020-04-11
Sullivan,6,2020-04-11
Tioga,0,2020-04-11
Tompkins,0,2020-04-11
Ulster,9,2020-04-11
Warren,0,2020-04-11
Washington,1,2020-04-11
Wayne,0,2020-04-11
Westchester,389,2020-04-11
Wyoming,1,2020-04-11
Yates,0,2020-04-11
Out of NY,0,2020-04-11
Unassigned,116,2020-04-11
New York State,8627,2020-04-12
Albany,9,2020-04-12
Allegany,1,2020-04-12
Bronx,1323,2020-04-12
Broome,6,2020-04-12
Cattaraugus,0,2020-04-12
Cayuga,2,2020-04-12
Chautauqua,1,2020-04-12
Chemung,1,2020-04-12
Chenango,0,2020-04-12
Clinton,0,2020-04-12
Columbia,6,2020-04-12
Cortland,1,2020-04-12
Delaware,1,2020-04-12
Dutchess,23,2020-04-12
Erie,57,2020-04-12
Essex,0,2020-04-12
Franklin,0,2020-04-12
Fulton,2,2020-04-12
Genesee,1,2020-04-12
Greene,0,2020-04-12
Hamilton,0,2020-04-12
Herkimer,3,2020-04-12
Jefferson,0,2020-04-12
Kings,1997,2020-04-12
Lewis,3,2020-04-12
Livingston,1,2020-04-12
Madison,2,2020-04-12
Manhattan,799,2020-04-12
Monroe,39,2020-04-12
Montgomery,2,2020-04-12
Nassau,792,2020-04-12
New York,6075,2020-04-12
Niagara,6,2020-04-12
Oneida,1,2020-04-12
Onondaga,8,2020-04-12
Ontario,0,2020-04-12
Orange,96,2020-04-12
Orleans,0,2020-04-12
Oswego,2,2020-04-12
Otsego,2,2020-04-12
Putnam,26,2020-04-12
Queens,1956,2020-04-12
Rensselaer,5,2020-04-12
Richmond,292,2020-04-12
Rockland,165,2020-04-12
St. Lawrence,1,2020-04-12
Saratoga,5,2020-04-12
Schenectady,7,2020-04-12
Schoharie,0,2020-04-12
Schuyler,0,2020-04-12
Seneca,0,2020-04-12
Steuben,5,2020-04-12
Suffolk,458,2020-04-12
Sullivan,6,2020-04-12
Tioga,0,2020-04-12
Tompkins,0,2020-04-12
Ulster,10,2020-04-12
Warren,0,2020-04-12
Washington,1,2020-04-12
Wayne,0,2020-04-12
Westchester,461,2020-04-12
Wyoming,1,2020-04-12
Yates,0,2020-04-12
Out of NY,0,2020-04-12
Unassigned,116,2020-04-12
New York State,9385,2020-04-13
Albany,9,2020-04-13
Allegany,1,2020-04-13
Bronx,1425,2020-04-13
Broome,6,2020-04-13
Cattaraugus,0,2020-04-13
Cayuga,2,2020-04-13
Chautauqua,1,2020-04-13
Chemung,1,2020-04-13
Chenango,0,2020-04-13
Clinton,2,2020-04-13
Columbia,7,2020-04-13
Cortland,1,2020-04-13
Delaware,1,2020-04-13
Dutchess,26,2020-04-13
Erie,70,2020-04-13
Essex,0,2020-04-13
Franklin,0,2020-04-13
Fulton,2,2020-04-13
Genesee,1,2020-04-13
Greene,0,2020-04-13
Hamilton,0,2020-04-13
Herkimer,3,2020-04-13
Jefferson,0,2020-04-13
Kings,2194,2020-04-13
Lewis,3,2020-04-13
Livingston,1,2020-04-13
Madison,2,2020-04-13
Manhattan,849,2020-04-13
Monroe,39,2020-04-13
Montgomery,2,2020-04-13
Nassau,846,2020-04-13
