FIPS,County,Population
36001,Albany,305506
36003,Allegany,46091
36005,Bronx,1418207
36007,Broome,190488
36009,Cattaraugus,76117
36011,Cayuga,76576
36013,Chautauqua,126903
36015,Chemung,83456
36017,Chenango,47207
36019,Clinton,80485
36021,Columbia,59461
36023,Cortland,47581
36025,Delaware,44135
36027,Dutchess,294218
36029,Erie,918702
36031,Essex,36885
36033,Franklin,50022
36035,Fulton,53383
36037,Genesee,57280
36039,Greene,47188
36041,Hamilton,4416
36043,Herkimer,61319
36045,Jefferson,109834
36047,Kings,2559903
36049,Lewis,26296
36051,Livingston,62914
36053,Madison,70941
36055,Monroe,741770
36057,Montgomery,49221
36059,Nassau,1356924
36061,New York,5803210
36061,Manhattan,5803210
36063,Niagara,209281
36065,Oneida,228671
36067,Onondaga,460528
36069,Ontario,109777
36071,Orange,384940
36073,Orleans,40352
36075,Oswego,117124
36077,Otsego,59493
36079,Putnam,98320
36081,Queens,2253858
36083,Rensselaer,158714
36085,Richmond,476143
36087,Rockland,325789
36089,St. Lawrence,107740
36091,Saratoga,229863
36093,Schenectady,155299
36095,Schoharie,30999
36097,Schuyler,17807
36099,Seneca,34016
36101,Steuben,95379
36103,Suffolk,1476601
36105,Sullivan,75432
36107,Tioga,48203
36109,Tompkins,102180
36111,Ulster,177573
36113,Warren,63944
36115,Washington,61204
36117,Wayne,89918
36119,Westchester,967506
36121,Wyoming,39859
36123,Yates,24913
36000,New York State,29431275
