County,date,deaths,cases
New York State,2020-03-14T00:00:00Z,2,613
New York State,2020-03-15T00:00:00Z,2,615
New York State,2020-03-16T00:00:00Z,10,967
New York,2020-03-16T00:00:00Z,7,463
Suffolk,2020-03-16T00:00:00Z,2,74
New York State,2020-03-17T00:00:00Z,13,1578
New York,2020-03-17T00:00:00Z,7,814
Suffolk,2020-03-17T00:00:00Z,3,97
New York State,2020-03-18T00:00:00Z,17,3038
New York,2020-03-18T00:00:00Z,11,1871
Suffolk,2020-03-18T00:00:00Z,3,116
New York State,2020-03-19T00:00:00Z,38,5704
Nassau,2020-03-19T00:00:00Z,3,372
New York,2020-03-19T00:00:00Z,26,3954
Suffolk,2020-03-19T00:00:00Z,3,239
New York State,2020-03-20T00:00:00Z,46,8403
Nassau,2020-03-20T00:00:00Z,4,754
New York,2020-03-20T00:00:00Z,29,5151
Suffolk,2020-03-20T00:00:00Z,7,459
New York State,2020-03-21T00:00:00Z,60,11727
Nassau,2020-03-21T00:00:00Z,4,1234
New York,2020-03-21T00:00:00Z,45,7530
Suffolk,2020-03-21T00:00:00Z,9,662
New York State,2020-03-22T00:00:00Z,117,15800
Nassau,2020-03-22T00:00:00Z,4,1900
New York,2020-03-22T00:00:00Z,63,9654
Suffolk,2020-03-22T00:00:00Z,9,1034
New York State,2020-03-23T00:00:00Z,158,20884
Monroe,2020-03-23T00:00:00Z,2,81
Nassau,2020-03-23T00:00:00Z,4,2442
New York,2020-03-23T00:00:00Z,99,12305
Suffolk,2020-03-23T00:00:00Z,13,1458
New York State,2020-03-24T00:00:00Z,210,25681
Monroe,2020-03-24T00:00:00Z,3,106
Nassau,2020-03-24T00:00:00Z,9,2869
New York,2020-03-24T00:00:00Z,131,14904
Rockland,2020-03-24T00:00:00Z,5,671
Suffolk,2020-03-24T00:00:00Z,17,1880
New York State,2020-03-25T00:00:00Z,285,30841
Broome,2020-03-25T00:00:00Z,2,11
Monroe,2020-03-25T00:00:00Z,3,118
Nassau,2020-03-25T00:00:00Z,17,3285
New York,2020-03-25T00:00:00Z,199,17856
Rockland,2020-03-25T00:00:00Z,5,968
Suffolk,2020-03-25T00:00:00Z,20,2260
New York State,2020-03-26T00:00:00Z,385,37877
Broome,2020-03-26T00:00:00Z,2,16
Erie,2020-03-26T00:00:00Z,2,206
Monroe,2020-03-26T00:00:00Z,4,148
Nassau,2020-03-26T00:00:00Z,17,3914
New York,2020-03-26T00:00:00Z,281,21873
Rockland,2020-03-26T00:00:00Z,5,1197
Suffolk,2020-03-26T00:00:00Z,22,2735
New York State,2020-03-27T00:00:00Z,527,44876
Broome,2020-03-27T00:00:00Z,2,18
Erie,2020-03-27T00:00:00Z,5,245
Monroe,2020-03-27T00:00:00Z,4,166
Nassau,2020-03-27T00:00:00Z,19,4657
New York,2020-03-27T00:00:00Z,366,25573
Rockland,2020-03-27T00:00:00Z,7,1457
Suffolk,2020-03-27T00:00:00Z,30,3385
New York State,2020-03-28T00:00:00Z,883,52410
Broome,2020-03-28T00:00:00Z,3,23
Dutchess,2020-03-28T00:00:00Z,2,262
Erie,2020-03-28T00:00:00Z,6,318
Monroe,2020-03-28T00:00:00Z,5,202
Nassau,2020-03-28T00:00:00Z,27,5537
New York,2020-03-28T00:00:00Z,672,29776
Orange,2020-03-28T00:00:00Z,4,1101
Rockland,2020-03-28T00:00:00Z,8,1896
Suffolk,2020-03-28T00:00:00Z,30,4138
Westchester,2020-03-28T00:00:00Z,10,7875
New York State,2020-03-29T00:00:00Z,1063,59648
Broome,2020-03-29T00:00:00Z,3,29
Dutchess,2020-03-29T00:00:00Z,2,320
Erie,2020-03-29T00:00:00Z,7,414
Herkimer,2020-03-29T00:00:00Z,2,10
Monroe,2020-03-29T00:00:00Z,5,219
Nassau,2020-03-29T00:00:00Z,39,6445
New York,2020-03-29T00:00:00Z,776,33768
Orange,2020-03-29T00:00:00Z,5,1247
Rockland,2020-03-29T00:00:00Z,8,2209
Suffolk,2020-03-29T00:00:00Z,40,5023
Westchester,2020-03-29T00:00:00Z,10,8519
New York State,2020-03-30T00:00:00Z,1342,66663
Broome,2020-03-30T00:00:00Z,3,35
Dutchess,2020-03-30T00:00:00Z,2,392
Erie,2020-03-30T00:00:00Z,7,443
Herkimer,2020-03-30T00:00:00Z,2,12
Monroe,2020-03-30T00:00:00Z,6,246
Nassau,2020-03-30T00:00:00Z,39,7344
New York,2020-03-30T00:00:00Z,914,37453
Orange,2020-03-30T00:00:00Z,5,1435
Rockland,2020-03-30T00:00:00Z,8,2511
Suffolk,2020-03-30T00:00:00Z,40,5791
Westchester,2020-03-30T00:00:00Z,10,9326
New York State,2020-03-31T00:00:00Z,1714,75833
Broome,2020-03-31T00:00:00Z,3,38
Dutchess,2020-03-31T00:00:00Z,3,484
Erie,2020-03-31T00:00:00Z,8,499
Herkimer,2020-03-31T00:00:00Z,2,12
Monroe,2020-03-31T00:00:00Z,8,257
