County,date,cases,Region,Color,log_cases,Population,p_cases,log_p_cases
New York State,2020-03-04T00:00:00Z,11,New York State,#7a7a7a,1.0413926851582251,21250933,0.05176243320705025,-1.285985316891946
Westchester,2020-03-04T00:00:00Z,10,Mid-Hudson,#91bdf0,1,968815,1.0321888079767552,0.013759145704395733
New York State,2020-03-05T00:00:00Z,23,New York State,#7a7a7a,1.3617278360175928,21250933,0.10823054216019597,-0.9656501660325782
Westchester,2020-03-05T00:00:00Z,18,Mid-Hudson,#91bdf0,1.255272505103306,968815,1.8579398543581593,0.2690316508077018
New York State,2020-03-06T00:00:00Z,31,New York State,#7a7a7a,1.4913616938342726,21250933,0.1458759481289598,-0.8360163082158985
New York,2020-03-06T00:00:00Z,11,New York City,#c8ff00,1.0413926851582251,8443713,0.1302744420612117,-0.8851407781516514
Westchester,2020-03-06T00:00:00Z,19,Mid-Hudson,#91bdf0,1.2787536009528289,968815,1.9611587351558346,0.29251274665722465
New York State,2020-03-07T00:00:00Z,76,New York State,#7a7a7a,1.8808135922807914,21250933,0.35763135670325624,-0.4465644097693798
New York,2020-03-07T00:00:00Z,11,New York City,#c8ff00,1.0413926851582251,8443713,0.1302744420612117,-0.8851407781516514
Westchester,2020-03-07T00:00:00Z,57,Mid-Hudson,#91bdf0,1.7558748556724915,968815,5.883476205467504,0.7696340013768871
New York State,2020-03-08T00:00:00Z,106,New York State,#7a7a7a,2.0253058652647704,21250933,0.49880162908612063,-0.3020721367854008
Nassau,2020-03-08T00:00:00Z,5,Long Island,#ff64a5,0.6989700043360189,1356564,0.368578260959306,-0.4334702833975553
New York,2020-03-08T00:00:00Z,12,New York City,#c8ff00,1.0791812460476249,8443713,0.14211757315768547,-0.8473522172622516
Westchester,2020-03-08T00:00:00Z,83,Mid-Hudson,#91bdf0,1.919078092376074,968815,8.567167106207068,0.9328372380804696
New York State,2020-03-09T00:00:00Z,142,New York State,#7a7a7a,2.1522883443830563,21250933,0.6682059559455578,-0.1750896576671146
Nassau,2020-03-09T00:00:00Z,17,Long Island,#ff64a5,1.2304489213782739,1356564,1.2531660872616404,0.09800863364469982
New York,2020-03-09T00:00:00Z,19,New York City,#c8ff00,1.2787536009528289,8443713,0.22501949083300204,-0.6477798623570474
Westchester,2020-03-09T00:00:00Z,98,Mid-Hudson,#91bdf0,1.9912260756924949,968815,10.1154503181722,1.0049852213968906
New York State,2020-03-10T00:00:00Z,150,New York State,#7a7a7a,2.1760912590556813,21250933,0.7058513619143216,-0.15128674299448983
Nassau,2020-03-10T00:00:00Z,19,Long Island,#ff64a5,1.2787536009528289,1356564,1.400597391645363,0.1463133132192549
New York,2020-03-10T00:00:00Z,25,New York City,#c8ff00,1.3979400086720377,8443713,0.2960782774118447,-0.5285934546378389
Westchester,2020-03-10T00:00:00Z,98,Mid-Hudson,#91bdf0,1.9912260756924949,968815,10.1154503181722,1.0049852213968906
New York State,2020-03-11T00:00:00Z,220,New York State,#7a7a7a,2.342422680822206,21250933,1.035248664141005,0.015044678772035164
Nassau,2020-03-11T00:00:00Z,28,Long Island,#ff64a5,1.4471580313422192,1356564,2.0640382613721138,0.3147177436086452
