county,cases
New York State,403175
Albany,2247
Allegany,68
Bronx,0
Broome,841
Cattaraugus,139
Cayuga,127
Chautauqua,180
Chemung,149
Chenango,171
Clinton,110
Columbia,489
Cortland,59
Delaware,92
Dutchess,4318
Erie,7833
Essex,51
Franklin,36
Fulton,266
Genesee,252
Greene,267
Hamilton,6
Herkimer,195
Jefferson,100
Kings,0
Lewis,32
Livingston,151
Madison,376
Monroe,4247
Montgomery,141
Nassau,42423
New York,219616
Niagara,1351
Oneida,1847
Onondaga,3179
Ontario,307
Orange,10850
Orleans,288
Oswego,225
Otsego,90
Putnam,1376
Queens,0
Rensselaer,625
Richmond,0
Rockland,13733
St. Lawrence,233
Saratoga,616
Schenectady,883
Schoharie,62
Schuyler,15
Seneca,74
Steuben,278
Suffolk,42214
Sullivan,1466
Tioga,161
Tompkins,186
Ulster,1872
Warren,280
Washington,250
Wayne,214
Westchester,35366
Wyoming,103
Yates,49
Out of NY,0
Unassigned,0
