county,deaths,cases
New York State,23488,1739449
Albany,98,21704
Allegany,2,1438
Bronx,3187,162859
Broome,44,11928
Cattaraugus,3,3562
Cayuga,2,3255
Chautauqua,2,3434
Chemung,2,5179
Chenango,5,3041
Clinton,4,2665
Columbia,38,3488
Cortland,1,3131
Delaware,2,2071
Dutchess,138,26933
Erie,471,50509
Essex,0,2146
Franklin,0,2432
Fulton,18,2483
Genesee,5,3175
Greene,13,2355
Hamilton,1,406
Herkimer,3,2646
Jefferson,0,4891
Kings,4838,225872
Lewis,5,1746
Livingston,3,3058
Madison,8,3383
Manhattan,1987,NA
Monroe,185,43653
Montgomery,4,2315
Nassau,2103,154441
New York,15609,140608
Niagara,58,11163
Oneida,42,13883
Onondaga,104,31136
Ontario,14,5088
Orange,365,44119
Orleans,33,1902
Oswego,2,4538
Otsego,4,2946
Putnam,58,7755
Queens,4878,222176
Rensselaer,25,8446
Richmond,719,52720
Rockland,491,47745
St. Lawrence,2,7906
Saratoga,14,10866
Schenectady,27,10106
Schoharie,2,1241
Schuyler,0,1198
Seneca,1,1612
Steuben,27,4826
Suffolk,1840,157702
Sullivan,29,6941
Tioga,18,2443
Tompkins,0,8897
Ulster,73,16361
Warren,27,4023
Washington,14,2660
Wayne,2,3825
Westchester,1343,141483
Wyoming,5,1980
Yates,6,955
