county,deaths
New York State,18015
Albany,27
Allegany,2
Bronx,2628
Broome,15
Cattaraugus,2
Cayuga,2
Chautauqua,1
Chemung,1
Chenango,0
Clinton,4
Columbia,14
Cortland,1
Delaware,2
Dutchess,68
Erie,207
Essex,0
Franklin,0
Fulton,3
Genesee,3
Greene,2
Hamilton,0
Herkimer,3
Jefferson,0
Kings,4032
Lewis,4
Livingston,1
Madison,5
Manhattan,1550
Monroe,83
Montgomery,4
Nassau,1678
New York,12218
Niagara,21
Oneida,14
Onondaga,24
Ontario,4
Orange,236
Orleans,8
Oswego,2
Otsego,3
Putnam,45
Queens,4008
Rensselaer,9
Richmond,556
Rockland,392
St. Lawrence,2
Saratoga,11
Schenectady,22
Schoharie,1
Schuyler,0
Seneca,2
Steuben,18
Suffolk,1155
Sullivan,15
Tioga,5
Tompkins,0
Ulster,23
Warren,8
Washington,3
Wayne,1
Westchester,1006
Wyoming,5
Yates,1
