county,deaths,date
New York State,23083,5/21/20
Albany,93,5/21/20
Allegany,2,5/21/20
Bronx,3149,5/21/20
Broome,39,5/21/20
Cattaraugus,2,5/21/20
Cayuga,2,5/21/20
Chautauqua,2,5/21/20
Chemung,2,5/21/20
Chenango,3,5/21/20
Clinton,4,5/21/20
Columbia,36,5/21/20
Cortland,1,5/21/20
Delaware,2,5/21/20
Dutchess,132,5/21/20
Erie,445,5/21/20
Essex,0,5/21/20
Franklin,0,5/21/20
Fulton,15,5/21/20
Genesee,4,5/21/20
Greene,12,5/21/20
Hamilton,1,5/21/20
Herkimer,3,5/21/20
Jefferson,0,5/21/20
Kings,4780,5/21/20
Lewis,5,5/21/20
Livingston,3,5/21/20
Madison,7,5/21/20
Manhattan,1961,5/21/20
Monroe,166,5/21/20
Montgomery,4,5/21/20
Nassau,2073,5/21/20
New York,15423,5/21/20
Niagara,55,5/21/20
Oneida,39,5/21/20
Onondaga,93,5/21/20
Ontario,9,5/21/20
Orange,360,5/21/20
Orleans,26,5/21/20
Oswego,2,5/21/20
Otsego,4,5/21/20
Putnam,58,5/21/20
Queens,4828,5/21/20
Rensselaer,25,5/21/20
Richmond,705,5/21/20
Rockland,485,5/21/20
St. Lawrence,2,5/21/20
Saratoga,14,5/21/20
Schenectady,26,5/21/20
Schoharie,2,5/21/20
Schuyler,0,5/21/20
Seneca,1,5/21/20
Steuben,27,5/21/20
Suffolk,1802,5/21/20
Sullivan,28,5/21/20
Tioga,16,5/21/20
Tompkins,0,5/21/20
Ulster,70,5/21/20
Warren,27,5/21/20
Washington,14,5/21/20
Wayne,2,5/21/20
Westchester,1313,5/21/20
Wyoming,5,5/21/20
Yates,6,5/21/20
