countyFIPS,County,State,Cases,population,Mortality
1001,Autauga,AL,756,55869,19
1003,Baldwin,AL,1518,223234,13
1005,Barbour,AL,441,24686,3
1007,Bibb,AL,242,22394,2
1009,Blount,AL,389,57826,1
1011,Bullock,AL,386,10101,11
1013,Butler,AL,664,19448,31
1015,Calhoun,AL,655,113605,6
1017,Chambers,AL,718,33254,32
1019,Cherokee,AL,145,26196,7
1021,Chilton,AL,379,44428,4
1023,Choctaw,AL,223,12589,12
1025,Clarke,AL,340,23622,6
1027,Clay,AL,94,13235,2
1029,Cleburne,AL,62,14910,1
1031,Coffee,AL,482,52342,4
1033,Colbert,AL,623,55241,8
1035,Conecuh,AL,258,12067,8
1037,Coosa,AL,68,10663,1
1039,Covington,AL,485,37049,15
1041,Crenshaw,AL,147,13772,3
1043,Cullman,AL,723,83768,6
1045,Dale,AL,431,49172,3
1047,Dallas,AL,1053,37196,12
1049,DeKalb,AL,1155,71513,7
1051,Elmore,AL,1143,81209,25
1053,Escambia,AL,569,36633,12
1055,Etowah,AL,1154,102268,14
1057,Fayette,AL,96,16302,3
1059,Franklin,AL,975,31362,16
1061,Geneva,AL,110,26271,0
1063,Greene,AL,202,8111,9
1065,Hale,AL,380,14651,23
1067,Henry,AL,167,17205,4
1069,Houston,AL,699,105882,10
1071,Jackson,AL,517,51626,4
1073,Jefferson,AL,7540,658573,178
1075,Lamar,AL,97,13805,1
1077,Lauderdale,AL,667,92729,7
1079,Lawrence,AL,162,32924,0
1081,Lee,AL,1845,164542,38
1083,Limestone,AL,731,98915,5
1085,Lowndes,AL,502,9726,25
1087,Macon,AL,241,18068,9
1089,Madison,AL,2942,372909,13
1091,Marengo,AL,383,18863,11
1093,Marion,AL,359,29709,14
1095,Marshall,AL,2149,96774,13
1097,Mobile,AL,5375,413210,162
1099,Monroe,AL,292,20733,4
1101,Montgomery,AL,4783,226486,120
1103,Morgan,AL,1506,119679,7
1105,Perry,AL,273,8923,2
1107,Pickens,AL,285,19930,7
1109,Pike,AL,507,33114,6
1111,Randolph,AL,292,22722,10
1113,Russell,AL,770,57961,0
