chr_code,kendall_cor,kendall_p,DIR
Mentally Unhealthy Days,0.44640434192673,9.234713019913348e-8,Destructive
Diabetes Prevalence,0.4389497848618149,1.6559139731341725e-7,Destructive
Fair Or Poor Health,0.4093170511080959,9.709917981839597e-7,Destructive
Freq Mental Distress,0.40388964269561284,1.3483605121129952e-6,Destructive
Rural,0.4038404287883029,1.8914779646047357e-6,Destructive
Physically Unhealthy Days,0.40298507462686567,1.423636680541901e-6,Destructive
Socio-Economic,0.4020805065581185,1.5029454100444205e-6,Destructive
Free Or Reduced Lunch,0.3776571687019448,6.224356859847798e-6,Destructive
Pct Unemployed,0.3776571687019448,6.224356859847798e-6,Destructive
Lack of Exercise Opps,-0.3921302578018996,2.7082481740612064e-6,Protective
20th Percentile Income,-0.41745816372682043,5.888595767818891e-7,Protective
Excessive Drinking,-0.41926729986431477,5.262633341052906e-7,Protective
80th Percentile Income,-0.4491180461329715,7.716197461999421e-8,Protective
Social Associations,-0.45836435238526824,4.574432745381068e-8,Protective
Median Household Income,-0.46087743102668477,3.500880141015918e-8,Protective
