chr_code,kendall_cor,kendall_p,DIR
Children In Poverty,0.7523809523809525,9.249267386131742e-5,Destructive
Freq Mental Distress,0.6380952380952382,9.143349192511845e-4,Destructive
Pct Uninsured,0.6380952380952382,9.143349192511845e-4,Destructive
Uninsured Adults,0.6380952380952382,9.143349192511845e-4,Destructive
Segregation(Black/White),0.6190476190476192,0.0012968957989590603,Destructive
Free Or Reduced Lunch,0.6000000000000001,0.0018227351663913961,Destructive
Freq Physical Distress,0.580952380952381,0.0025384743238245585,Destructive
Single Parent Households,0.561904761904762,0.0035032039178636747,Destructive
Uninsured Children,0.5428571428571429,0.004790876854531493,Destructive
Physically Unhealthy Days,0.5428571428571429,0.004790876854531493,Destructive
African American,-0.6000000000000001,0.0018227351663913961,Protective
20th Percentile Income,-0.6380952380952382,9.143349192511845e-4,Protective
80th Percentile Income,-0.6380952380952382,9.143349192511845e-4,Protective
Excessive Drinking,-0.6571428571428573,6.387235310978907e-4,Protective
Median Household Income,-0.7333333333333334,1.3867940542948838e-4,Protective
