chr_code,kendall_cor,kendall_p,DIR
Older Than 65,0.360719687922936,1.4946626659123883e-11,Destructive
Children In Poverty,0.35584477126409125,2.9823647021538076e-11,Destructive
Association Rate,0.3496676090505818,6.094562779474286e-11,Destructive
Socio-Economic,0.3436828278003343,1.2786568851708144e-10,Destructive
Income Ratio,0.3323779953825332,5.029050384668189e-10,Destructive
Freq Mental Distress,0.33126343443993306,5.74239164251772e-10,Destructive
Physically Unhealthy Days,0.3247352917761324,1.238223676427336e-9,Destructive
Mentally Unhealthy Days,0.31884404107953185,2.4463490274423228e-9,Destructive
Freq Physical Distress,0.3124751214075312,5.039929647362415e-9,Destructive
Free Or Reduced Lunch,0.3062624660850555,1.1067180208726963e-8,Destructive
80th Percentile Income,-0.33294852938286273,4.705374742405478e-10,Protective
Some College,-0.3435236048085343,1.3039546238054862e-10,Protective
Excessive Drinking,-0.3752089801767375,2.2268558395609327e-12,Protective
Median Household Income,-0.3819267528028734,9.025132269093747e-13,Protective
20th Percentile Income,-0.39813709099593975,9.44575291584123e-14,Protective
