chr_code,kendall_cor,kendall_p,DIR
Physically Inactive,0.30156281735615104,8.178322198563352e-6,Destructive
Teen Birth Rate,0.2378178994370025,3.9722988426048154e-4,Destructive
Association Rate,0.2152980003882741,0.0013435120747213576,Destructive
Children In Poverty,0.2026712480000724,0.0026326300461233906,Destructive
Freq Mental Distress,0.19937876140555227,0.002983548472703929,Destructive
Free Or Reduced Lunch,0.1962725684333139,0.003464916353150149,Destructive
Older Than 65,0.19277810133954568,0.004090181623377238,Destructive
Non-Hispanic White,0.18229470005824108,0.006627815371555256,Destructive
Mentally Unhealthy Days,0.1815181518151815,0.006862941978410205,Destructive
Other Prim Care Prov Rate,0.1782178217821782,0.008271440207719841,Destructive
20th Percentile Income,-0.1749174917491749,0.009184306071315934,Protective
Other Prim Care Prov Ratio,-0.1784335091429069,0.0081998102931279,Protective
Excessive Drinking,-0.1854008930304795,0.005758060434898027,Protective
Median Household Income,-0.20597942147155887,0.0021568841068173514,Protective
80th Percentile Income,-0.2568433313919627,1.3062843775897418e-4,Protective
