chr_code,kendall_cor,kendall_p,DIR
Older Than 65,0.2570473005255614,2.843735341305404e-4,Destructive
Association Rate,0.24510272336359293,5.391852360411064e-4,Destructive
Segregation(Black/White),0.24238026124818574,0.010406690289240336,Destructive
Disconnected Youth,0.2163265306122449,0.026644466652054374,Destructive
Diabetes Prevalence,0.19533055741490393,0.006261511465066685,Destructive
Physically Inactive,0.18308518724465875,0.01005107564680126,Destructive
Teen Birth Rate,0.15910176779741997,0.024685721397299156,Destructive
Segregation(NonWhite/White),0.14157303370786517,0.048139190970293004,Destructive
Free Or Reduced Lunch,0.11753463927376971,0.0970315556662345,Destructive
Flu Vaccinated,-0.12504220766676405,0.08452947372628425,Protective
African American,-0.12947921643573818,0.06754081180788524,Protective
80th Percentile Income,-0.1505016722408027,0.03359790080279237,Protective
Excessive Drinking,-0.20831342570473005,0.003270672787715808,Protective
