chr_code,kendall_cor,kendall_p,DIR
Association Rate,0.3467350504512868,1.5925155455887295e-7,Destructive
Older Than 65,0.3005769771740949,5.525802017783591e-6,Destructive
Uninsured Children,0.26122000366367465,7.865311950441176e-5,Destructive
Rural,0.25745037532320186,2.3395986563159955e-4,Destructive
Insufficient Sleep,-0.2273101941944252,5.899229601227883e-4,Protective
Presence Of Violation,-0.25400201234688835,0.0015929034026474875,Protective
Adult Smoking,-0.2646762535140567,6.305899300499083e-5,Protective
Sexual Trans Infect,-0.27936670071501535,1.057683034305944e-4,Protective
Pct Unemployed,-0.2800622779397874,2.299296740030147e-5,Protective
Social Associations,-0.28253028945657865,2.327398147422931e-5,Protective
Food Insecure,-0.29597246700986723,8.448097934936264e-6,Protective
Severe Housing Costs,-0.33134902602555616,5.47302843762215e-7,Protective
Severe Housing Problems,-0.36395274445150916,3.759214768604221e-8,Protective
Physical Environment,-0.36889622540586786,3.938016576847844e-8,Protective
Air Quality,-0.38394232638523457,9.398877946770543e-9,Protective
