chr_code,kendall_cor,kendall_p,DIR
Older Than 65,0.24992996217820254,5.196921858039447e-5,Destructive
Rural,0.13997223388489363,0.029478791590533952,Destructive
Children In Poverty,0.129050419905098,0.03689691056189947,Destructive
Association Rate,0.1276357296136905,0.03879098597025352,Destructive
Free Or Reduced Lunch,0.1266461243324524,0.04031429351072375,Destructive
Pct Uninsured,0.12496498108910127,0.04304275821346489,Destructive
Some College,-0.12804707703524504,0.03815397419920623,Protective
Severe Housing Costs,-0.13168955406250582,0.03299273435825107,Protective
20th Percentile Income,-0.13856392600212944,0.024876020045863707,Protective
Segregation(Black/White),-0.14062029509183982,0.06147261394102903,Protective
Lack of Exercise Opps,-0.14192644796780293,0.021575387022194612,Protective
Excessive Drinking,-0.1437377473065223,0.019952350304509738,Protective
80th Percentile Income,-0.1499019391988098,0.015222304448167382,Protective
Drive Alone Long Commute,-0.15539977451804568,0.011958970869627,Protective
Median Household Income,-0.1569067027127729,0.011070679008597685,Protective
