chr_code,kendall_cor,kendall_p,DIR
Older Than 65,0.4439634439634439,1.735669119395212e-7,Destructive
Disconnected Youth,0.39130434782608686,8.857273023223872e-5,Destructive
Low Birthweight,0.3698893698893698,1.338315498587561e-5,Destructive
Children In Poverty,0.3525165087960723,3.4040928778264915e-5,Destructive
Teen Birth Rate,0.3275613275613275,1.154806551952217e-4,Destructive
Diabetes Prevalence,0.3268649860042352,1.4278075538887717e-4,Destructive
Association Rate,0.3227513227513227,1.4533315877157365e-4,Destructive
Native Hawaiian Islander,-0.3417570084558345,5.821088385471579e-5,Protective
20th Percentile Income,-0.3535353535353535,3.165083600632442e-5,Protective
80th Percentile Income,-0.35545935545935536,2.8655308752344362e-5,Protective
Asian,-0.3602693602693602,2.2300914408152075e-5,Protective
Some College,-0.3621933621933621,2.0155641065589193e-5,Protective
Median Household Income,-0.38624338624338617,5.461328543326223e-6,Protective
Excessive Drinking,-0.41606541606541597,9.718463880137324e-7,Protective
Hispanic,-0.41895141895141885,8.171575458021991e-7,Protective
