chr_code,kendall_cor,kendall_p,DIR
Younger Than 18,0.6060606060606061,0.0060898871143117254,Destructive
Prim Care Physicians Ratio,0.5757575757575758,0.009167151821891005,Destructive
Driving Alone,0.5454545454545454,0.013563829990194919,Destructive
Physically Inactive,0.5343667144834019,0.01614143045305075,Destructive
Pct Unemployed,0.48484848484848486,0.02821230197459871,Destructive
Diabetes Prevalence,0.473296232828156,0.033108545898118694,Destructive
Sexual Trans Infect,0.42424242424242425,0.05485393990013224,Destructive
Segregation(NonWhite/White),0.42424242424242425,0.05485393990013224,Destructive
Native Hawaiian Islander,0.3939393939393939,0.07460482156057315,Destructive
Adult Obesity,0.3816905103452871,0.08573124655875573,Destructive
Association Rate,-0.3939393939393939,0.07460482156057315,Protective
Some College,-0.3939393939393939,0.07460482156057315,Protective
Prim Care Physicians Rate,-0.5757575757575758,0.009167151821891005,Protective
