chr_code,kendall_cor,kendall_p,DIR
Access To Healthy Foods,0.3039294306335204,3.0684909680560866e-5,Destructive
Diabetes Prevalence,0.29372155959440976,6.66063942539883e-5,Destructive
Free Or Reduced Lunch,0.27185244587008817,1.927036857655236e-4,Destructive
Physically Inactive,0.23984060719673286,0.0010450052678779571,Destructive
Teen Birth Rate,0.23977591036414564,0.0011583531149383934,Destructive
Uninsured Children,0.23496391339214112,0.0012708758611375637,Destructive
Freq Mental Distress,0.22961774926490242,0.0016374327238257587,Destructive
Children In Poverty,0.2283353914704977,0.0018055432684244497,Destructive
Fair Or Poor Health,0.2226677358994921,0.00225934623263818,Destructive
Air Quality,-0.22748817277315908,0.0021426344452413733,Protective
20th Percentile Income,-0.22961774926490242,0.0016374327238257587,Protective
Median Household Income,-0.25100240577385724,5.764900795515209e-4,Protective
80th Percentile Income,-0.2526062550120288,5.313421792172767e-4,Protective
Lack of Exercise Opps,-0.2830793905372895,1.0344361410516889e-4,Protective
Food Environment Index,-0.31748054954414084,2.13478280595221e-5,Protective
