chr_code,kendall_cor,kendall_p,DIR
Physically Unhealthy Days,0.35501355013550134,2.343962084845102e-6,Destructive
Freq Mental Distress,0.34357121348991265,4.898612568110908e-6,Destructive
Freq Physical Distress,0.34357121348991265,4.898612568110908e-6,Destructive
Mentally Unhealthy Days,0.3261065943992773,1.4455547057379341e-5,Destructive
Fair Or Poor Health,0.324902137910268,1.554593127966856e-5,Destructive
Children In Poverty,0.30428261369872733,5.325983007014043e-5,Destructive
Diabetes Prevalence,0.2935739180886892,1.0685105544444974e-4,Destructive
Older Than 65,0.2833483890394459,1.6443383935808164e-4,Destructive
Rural,0.2832085203765473,2.4989152586477075e-4,Destructive
Socio-Economic,0.2820987654320987,1.932631254153496e-4,Destructive
Hispanic,-0.2911773562180066,1.0780941674792551e-4,Protective
20th Percentile Income,-0.30236410521983936,5.807339568966947e-5,Protective
80th Percentile Income,-0.3568202348690154,2.08218429710793e-6,Protective
Median Household Income,-0.35742246311352005,2.001343507804963e-6,Protective
Excessive Drinking,-0.39174947305028607,1.8904785019167924e-7,Protective
