chr_code,kendall_cor,kendall_p,DIR
Physically Unhealthy Days,0.40000017969060425,0.0010765642616161427,Destructive
Free Or Reduced Lunch,0.3719165085388995,0.0023844372171433373,Destructive
Socio-Economic,0.3588709677419355,0.0038951727381900053,Destructive
Mentally Unhealthy Days,0.354502528920109,0.0037578650098515146,Destructive
Freq Physical Distress,0.3507110580225677,0.004146312085269413,Destructive
Children In Poverty,0.3314309763786222,0.0069764021062089995,Destructive
Freq Mental Distress,0.3203792908422375,0.008822152748458649,Destructive
Pct Unemployed,0.31658781994469626,0.009656929345355534,Destructive
Food Insecure,0.288449617814314,0.019161623379411328,Destructive
Teen Birth Rate,0.2735632183908046,0.03374692332536127,Destructive
Access To Healthy Foods,0.271090169174201,0.026693760108449215,Destructive
Clinical Care,0.2701612903225806,0.029779962111063346,Destructive
Fair Or Poor Health,0.2672986982766597,0.0288907173782593,Destructive
Diabetes Prevalence,0.26666860168394885,0.029947856992834494,Destructive
Food Environment Index,-0.3054993265542372,0.013570028832850193,Protective
