chr_code,kendall_cor,kendall_p,DIR
Air Quality,0.3179599666666942,3.226782199240713e-4,Destructive
Not Proficient In English,0.3167636171337916,2.743637486763529e-4,Destructive
Younger Than 18,0.3083024854574299,3.9832711037230144e-4,Destructive
Female,0.3019566367001586,5.23760866846268e-4,Destructive
Asian,0.2913802221047065,8.174454715201357e-4,Destructive
African American,0.28820729772607084,9.31711985091633e-4,Destructive
Physical Environment,0.27445795875198303,0.001619074089170569,Destructive
Hispanic,0.26811210999471174,0.0020730698175373597,Destructive
Social Associations,0.2614007065272418,0.0027424491107907113,Destructive
Violent Crime Rate,0.24590163934426226,0.004736212845579135,Destructive
Flu Vaccinated,-0.27835160463987046,0.002129861920534354,Protective
Non-Hispanic White,-0.31359069275515594,3.158628215938335e-4,Protective
Access To Healthy Foods,-0.33791644632469586,1.0388323077359078e-4,Protective
Excessive Drinking,-0.34426229508196715,7.678240830538439e-5,Protective
Rural,-0.363059124722859,3.0849651553670096e-5,Protective
