chr_code,kendall_cor,kendall_p,DIR
Association Rate,0.4310344827586207,2.735125860002194e-9,Destructive
Older Than 65,0.36050156739811917,6.570439955515955e-7,Destructive
Segregation(Black/White),0.19092331768388107,0.017678277321002803,Destructive
Segregation(NonWhite/White),0.17080994386527665,0.019148903661302657,Destructive
Presence Of Violation,0.15425043515589498,0.07974336945167428,Destructive
Physically Inactive,0.14570302649908387,0.04504804549708058,Destructive
Uninsured Children,0.14315569487983282,0.04826326544596437,Destructive
80th Percentile Income,-0.15412748171368862,0.033468725096503185,Protective
Overcrowding,-0.15673981191222572,0.030583055230613398,Protective
Low Birthweight,-0.16562173458725185,0.022313118929308078,Protective
Severe Housing Problems,-0.17711598746081506,0.01454254127565808,Protective
Asian,-0.19592476489028215,0.006870231017686266,Protective
Severe Housing Costs,-0.20950888192267506,0.0038465072943356694,Protective
Income Ratio,-0.24190177638453503,8.456912180829451e-4,Protective
Drive Alone Long Commute,-0.2730014421488986,1.702750906691514e-4,Protective
