chr_code,kendall_cor,kendall_p,DIR
Diabetes Prevalence,0.5157567256895316,4.688564596226381e-7,Destructive
Pct Unemployed,0.5091787439613528,6.046812504885464e-7,Destructive
Disconnected Youth,0.48275862068965525,2.3638163651872306e-4,Destructive
Freq Mental Distress,0.48019323671497594,2.530317474154535e-6,Destructive
Socio-Economic,0.4782608695652175,2.7759783302246604e-6,Destructive
Adult Obesity,0.46802523334497587,4.777059401821445e-6,Destructive
Children In Poverty,0.461762724127335,6.268686726508178e-6,Destructive
Low Birthweight,0.45507246376811605,8.215126402038679e-6,Destructive
Food Insecure,0.45371080380206913,9.315275064627496e-6,Destructive
Fair Or Poor Health,0.4454106280193238,1.2722865119828444e-5,Destructive
Freq Physical Distress,0.4434782608695653,1.387173323064157e-5,Destructive
Food Environment Index,-0.4612325235223167,8.613179618836349e-6,Protective
20th Percentile Income,-0.5130434782608697,4.966859930849753e-7,Protective
Excessive Drinking,-0.5265700483091789,2.467616337685078e-7,Protective
Median Household Income,-0.5342995169082126,1.641935457707979e-7,Protective
