chr_code,kendall_cor,kendall_p,DIR
Freq Physical Distress,0.3334826427771556,1.69065382129647e-6,Destructive
Freq Mental Distress,0.3307950727883538,2.047396662690807e-6,Destructive
Older Than 65,0.328555431131019,2.398916626386876e-6,Destructive
Fair Or Poor Health,0.32273236282194845,3.6049933924842466e-6,Destructive
Mentally Unhealthy Days,0.315565509518477,5.8966191770199315e-6,Destructive
Physically Unhealthy Days,0.3119820828667413,7.512670315333425e-6,Destructive
Physically Inactive,0.30535894491907084,1.2762309293138233e-5,Destructive
Prev Hospital Stays,0.2929779388964024,2.606666098114867e-5,Destructive
Pct Unemployed,0.2819708846584546,5.1701496654348377e-5,Destructive
Children In Poverty,0.27689941536781465,7.254816106282658e-5,Destructive
Socio-Economic,0.2407614781634938,5.478031189662416e-4,Destructive
80th Percentile Income,-0.3590145576707726,2.552734594219808e-7,Protective
Median Household Income,-0.3608062709966405,2.224683219216791e-7,Protective
20th Percentile Income,-0.3778275475923851,5.832626774527643e-8,Protective
Excessive Drinking,-0.4064949608062709,5.366506492086544e-9,Protective
