chr_code,kendall_cor,kendall_p,DIR
Association Rate,0.31574883540430426,5.923017659332162e-14,Destructive
Uninsured Adults,0.3151133351696082,6.590448090906967e-14,Destructive
Pct Uninsured,0.2985609294805735,1.2292866002074716e-12,Destructive
Children In Poverty,0.2937659356412008,3.0225859958925544e-12,Destructive
Clinical Care,0.28706693213779794,2.204320528273443e-11,Destructive
Free Or Reduced Lunch,0.2851362497816381,1.2940465566553905e-11,Destructive
Physically Unhealthy Days,0.28194676108374395,1.988987991177447e-11,Destructive
Freq Physical Distress,0.2807732696356407,2.4071819193416845e-11,Destructive
Freq Mental Distress,0.277314557999126,4.205793342243711e-11,Destructive
20th Percentile Income,-0.2796170475602224,2.910936922786647e-11,Protective
Physical Environment,-0.2822490255844363,4.7204378861875446e-11,Protective
Air Quality,-0.3014209663245588,1.467345562118792e-12,Protective
80th Percentile Income,-0.3486504855022419,1.0991866895477293e-16,Protective
Excessive Drinking,-0.35723550188573383,1.932747928979339e-17,Protective
Median Household Income,-0.390463838679393,1.5693844352338905e-20,Protective
