chr_code,kendall_cor,kendall_p,DIR
Physically Inactive,0.35585296129775723,1.472304308806539e-7,Destructive
Children In Poverty,0.34847307498085384,2.52614416414256e-7,Destructive
Income Ratio,0.341091414963923,4.3545828168472774e-7,Destructive
Freq Mental Distress,0.32643359573783104,1.3272352177375138e-6,Destructive
Pct Unemployed,0.32643359573783104,1.3272352177375138e-6,Destructive
Socio-Economic,0.32445280935592674,1.5375744794177132e-6,Destructive
Physically Unhealthy Days,0.31573734927554775,2.908433673928978e-6,Destructive
Mentally Unhealthy Days,0.3153411919991669,2.992789775631936e-6,Destructive
Diabetes Prevalence,0.3090041402961705,5.441573974286063e-6,Destructive
Freq Physical Distress,0.30900267557707306,4.70749603055759e-6,Destructive
Fair Or Poor Health,0.294741013627362,1.264540254668586e-5,Destructive
Asian,-0.31217193378811997,3.757456146926748e-6,Protective
Median Household Income,-0.3557492341900149,1.3649847308139931e-7,Protective
80th Percentile Income,-0.35733386329553835,1.2008035355966398e-7,Protective
20th Percentile Income,-0.3940174326465926,5.339408215629867e-9,Protective
