chr_code,kendall_cor,kendall_p,DIR
Violent Crime Rate,0.574594404914223,0.004358063507974162,Destructive
Social Associations,0.4777777777777777,0.01822189395641743,Destructive
Sexual Trans Infect,0.39779612647907747,0.04840722228337365,Destructive
Asian,0.3756963416746843,0.06230460877213067,Destructive
Older Than 65,-0.3535965568702911,0.07935042896636839,Protective
Homeownership,-0.3535965568702911,0.07935042896636839,Protective
Uninsured Adults,-0.3756963416746843,0.06230460877213067,Protective
Pct Uninsured,-0.4198959112834707,0.037212028665121646,Protective
Rural,-0.6067798762169179,0.0029111513155399785,Protective
Uninsured Children,-0.6629935441317958,0.0010032040878639994,Protective
