chr_code,kendall_cor,kendall_p,DIR
Association Rate,0.23711688781815907,0.010605807771026921,Destructive
Flu Vaccinated,0.22159674519570097,0.019382831173179512,Destructive
Female,0.21825531719626004,0.018665097292208166,Destructive
Access To Healthy Foods,0.2034355117076251,0.02834783192341179,Destructive
Lack of Exercise Opps,0.19804649152993967,0.032813239211206414,Destructive
Presence Of Violation,0.19429603556526398,0.08319728469869095,Destructive
Social Associations,0.18780010616493847,0.04421002250913222,Destructive
Some College,0.18322668604130474,0.04830822855944302,Destructive
African American,0.17649041081919795,0.05716466748354274,Destructive
Native Hawaiian Islander,-0.17279808605579894,0.0630390983351373,Protective
Amer Indian/Alaskan Native,-0.20882453188531053,0.024416162729572765,Protective
Uninsured Adults,-0.24654767312910858,0.007882501797970575,Protective
Rural,-0.2581337749768287,0.006386396852704778,Protective
Pct Uninsured,-0.2613674786177435,0.004850837782352517,Protective
Uninsured Children,-0.26271473366216486,0.00463599061510017,Protective
