chr_code,kendall_cor,kendall_p,DIR
Older Than 65,0.3455855855855856,1.1505885791375419e-5,Destructive
Diabetes Prevalence,0.20814322445909747,0.008726000218123833,Destructive
Freq Mental Distress,0.20576576576576577,0.00900350835622201,Destructive
Rural,0.20225934105606658,0.011591273591583292,Destructive
Mentally Unhealthy Days,0.18774774774774775,0.017162574098663126,Destructive
Children In Poverty,0.18559343331926426,0.018700057648605974,Destructive
Physically Unhealthy Days,0.1834234234234234,0.019895395283071004,Destructive
Asian,-0.1899099099099099,0.01592403277049454,Protective
Younger Than 18,-0.2036036036036036,0.009752733394967596,Protective
Median Household Income,-0.2136936936936937,0.006676663436962692,Protective
Excessive Drinking,-0.21585585585585584,0.006143898214111913,Protective
Native Hawaiian Islander,-0.22995134631826836,0.0035179996454609364,Protective
Social Associations,-0.23329428884038408,0.0032101662762486246,Protective
80th Percentile Income,-0.25981981981981983,9.735368488516671e-4,Protective
Hispanic,-0.2634234234234234,8.263700734918454e-4,Protective
