chr_code,kendall_cor,kendall_p,DIR
Younger Than 18,0.3655068245978945,5.0843649195988994e-5,Destructive
Hispanic,0.3364599246298499,1.916895601907535e-4,Destructive
Driving Alone,0.3304084871365073,2.4962659048440787e-4,Destructive
Not Proficient In English,0.32072618714715906,3.775300546018545e-4,Destructive
Physical Environment,0.3110438871578109,5.647909609260589e-4,Destructive
Fair Or Poor Health,0.28441756218710335,0.0016169908888124698,Destructive
Air Quality,0.2687774988027154,0.003014632741332917,Destructive
Overcrowding,0.2577912372163958,0.004267689414171342,Destructive
Mental Health Prov Ratio,0.24341508835833395,0.00700109236639738,Destructive
Sexual Trans Infect,0.22946712973873137,0.011748555692969252,Destructive
Free Or Reduced Lunch,0.22753404974968267,0.011660366824421826,Destructive
Insufficient Sleep,0.22632376225101414,0.012112724457382037,Destructive
Mental Health Prov Rate,-0.2432677872323735,0.00700364251262477,Protective
Older Than 65,-0.2577912372163958,0.004267689414171342,Protective
Non-Hispanic White,-0.2747352621977551,0.002322983124933556,Protective
