chr_code,kendall_cor,kendall_p,DIR
Pct Unemployed,0.38405797101449274,0.00855692184192775,Destructive
Association Rate,0.34057971014492755,0.0197210128372641,Destructive
Physically Inactive,0.33756861401789184,0.021025879258394015,Destructive
Income Ratio,0.32608695652173914,0.025588784083997524,Destructive
Free Or Reduced Lunch,0.315789993758673,0.030877545887490095,Destructive
Older Than 65,0.30434782608695654,0.03719931164374444,Destructive
Drive Alone Long Commute,-0.3230495338450793,0.027225366667629935,Protective
Amer Indian/Alaskan Native,-0.32608695652173914,0.025588784083997524,Protective
20th Percentile Income,-0.3333333333333333,0.022489040536598833,Protective
Hispanic,-0.34782608695652173,0.017255277242568715,Protective
80th Percentile Income,-0.36231884057971014,0.013122023533042431,Protective
Excessive Drinking,-0.36231884057971014,0.013122023533042431,Protective
Median Household Income,-0.3695652173913043,0.011404656359906128,Protective
Younger Than 18,-0.4492753623188406,0.0020997665490129712,Protective
Native Hawaiian Islander,-0.4492753623188406,0.0020997665490129712,Protective
