chr_code,kendall_cor,kendall_p,DIR
Diabetes Prevalence,0.24311992434035615,0.001890038711373545,Destructive
Adult Obesity,0.21360136969408416,0.006206884851412833,Destructive
Children In Poverty,0.1757154551972583,0.02403121814503008,Destructive
Socio-Economic,0.1742993848257006,0.02488801173794907,Destructive
Pct Unemployed,0.1640464798359535,0.034756214185747474,Destructive
Amer Indian/Alaskan Native,0.15516062884483936,0.045843507693215914,Destructive
Single Parent Households,0.15311004784688992,0.04878779334453365,Destructive
Physically Inactive,0.1516305821821689,0.05183481075257394,Destructive
Drive Alone Long Commute,0.14889629164060084,0.05569301577401708,Destructive
Prim Care Physicians Ratio,0.1423936646235638,0.07078048276093447,Destructive
80th Percentile Income,-0.1510594668489405,0.05188922194979214,Protective
Median Household Income,-0.16336295283663702,0.03551906454758726,Protective
Some College,-0.1715652768284347,0.02724775370070561,Protective
Asian,-0.18045112781954883,0.020216461842342985,Protective
Segregation(Black/White),-0.20754716981132076,0.02670936008302588,Protective
