chr_code,kendall_cor,kendall_p,DIR
Teen Birth Rate,0.4545454545454545,2.0028317199453195e-4,Destructive
Fair Or Poor Health,0.4507936507936507,1.0958152797500763e-4,Destructive
Freq Physical Distress,0.4031746031746031,5.407632364550609e-4,Destructive
Younger Than 18,0.4031746031746031,5.407632364550609e-4,Destructive
Uninsured Adults,0.34603174603174597,0.0029842569245876363,Destructive
Physically Unhealthy Days,0.33333333333333326,0.004231232899758157,Destructive
Pct Uninsured,0.32698412698412693,0.005017560877717458,Destructive
Amer Indian/Alaskan Native,0.32380952380952377,0.005458322063335593,Destructive
Free Or Reduced Lunch,0.29841269841269835,0.010445307036211915,Destructive
Uninsured Children,0.28888888888888886,0.01317502969787909,Destructive
Access To Healthy Foods,0.28571428571428564,0.014215907068163237,Destructive
Overcrowding,0.2825396825396825,0.015328674623339872,Destructive
Clinical Care,0.2806722689075631,0.01770937677646391,Destructive
Adult Smoking,0.273015873015873,0.019139958356070103,Destructive
Lack of Exercise Opps,-0.3555555555555555,0.002280195947074224,Protective
