Rank,NAME,Population
0,United States,308745538
1,California,37253956
2,Texas,25145561
3,New York,19378102
4,Florida,18801310
5,Illinois,12830632
6,Pennsylvania,12702379
7,Ohio,11536504
8,Michigan,9883640
9,Georgia,9687653
10,North Carolina,9535483
11,New Jersey,8791894
12,Virginia,8001024
13,Washington,6724540
14,Massachusetts,6547629
15,Indiana,6483802
16,Arizona,6392017
17,Tennessee,6346105
18,Missouri,5988927
19,Maryland,5773552
20,Wisconsin,5686986
21,Minnesota,5303925
22,Colorado,5029196
23,Alabama,4779736
24,South Carolina,4625364
25,Louisiana,4533372
26,Kentucky,4339367
27,Oregon,3831074
28,Oklahoma,3751351
29,Connecticut,3574097
30,Iowa,3046355
31,Mississippi,2967297
32,Arkansas,2915918
33,Kansas,2853118
34,Utah,2763885
35,Nevada,2700551
36,New Mexico,2059179
37,West Virginia,1852994
38,Nebraska,1826341
39,Idaho,1567582
40,Hawaii,1360301
41,Maine,1328361
42,New Hampshire,1316470
43,Rhode Island,1052567
44,Montana,989415
45,Delaware,897934
46,South Dakota,814180
47,Alaska,710231
48,North Dakota,672591
49,Vermont,625741
50,Washington D. C.,601723
51,Wyoming,563626
