County,Sample Size,Est. Count,Est. Denominator,Crude Rate,Age-adjusted Rate,FIPS,DSRIP Region Sort Key
Columbia,480,3075,50039,6.1,4,36021,104
Greene,407,3151,38998,8.1,6.6,36039,104
Putnam,488,3756,78787,4.8,4.2,36079,103
Erie,803,54529,733956,7.4,7.1,36029,111
Warren,565,3116,52316,6,5.4,36113,106
Steuben,447,7062,75453,9.4,7.7,36101,110
Cortland,477,2223,38584,5.8,6,36023,108
Schuyler,408,1334,14560,9.2,9.2,36097,110
Yates,380,1099,19264,5.7,4.2,36123,110
Oswego,484,11242,94054,12,12,36075,108
Suffolk,588,85560,1168721,7.3,6.8,36103,101
Allegany,490,2887,37525,7.7,7.4,36030,111
Wayne,573,7651,71132,10.8,9,36117,110
Richmond,529,19157,369359,5.2,4.7,36085,102
Genesee,511,3275,46659,7,6.1,36037,111
Bronx,688,44465,1098623,4,4.2,36050,102
Niagara,420,13165,169189,7.8,6.2,36063,111
Livingston,398,4321,52971,8.2,9.2,36051,110
Delaware,423,2639,37272,7.1,5.7,36025,109
Westchester,669,33452,764514,4.4,3.8,36119,103
Herkimer,450,5593,49482,11.3,12.5,36043,105
Madison,360,4698,57281,8.2,7.4,36053,108
Otsego,476,3919,50015,7.8,6.7,36077,105
Wyoming,426,2654,32688,8.1,7.5,36121,111
Chautauqua,1037,9316,102439,9.1,7.5,36013,111
Ontario,508,6940,87693,7.9,7,36069,110
Franklin,468,3372,39742,8.5,7.7,36033,106
Orleans,382,2797,33047,8.5,8.1,36073,111
Tioga,427,2678,38360,7,5.2,36107,109
Rockland,541,7979,239636,3.3,3.1,36087,103
Lewis,320,734,20569,3.6,3.2,36049,107
Nassau,594,31489,1073370,2.9,2.7,36059,101
Seneca,471,2151,27755,7.8,6.7,36099,110
Chemung,486,7142,66467,10.7,9.5,36015,110
Orange,630,14087,283013,5,4.4,36071,103
Sullivan,481,5333,57974,9.2,8.8,36105,103
Schenectady,464,9693,120798,8,7.2,36093,104
Clinton,661,5809,66130,8.8,7.8,36019,106
Hamilton,365,375,4007,9.4,6.5,36041,106
Montgomery,382,3527,38400,9.2,7.4,36057,105
Rensselaer,486,7672,128394,6,5.5,36083,104
Ulster,533,12805,146796,8.7,7.5,36111,103
Cayuga,595,4531,62172,7.3,6.7,36011,108
Saratoga,821,10180,181385,5.6,4.6,36091,104
Tompkins,452,3696,88826,4.2,4.7,36109,109
Broome,478,13332,157161,8.5,7.8,36070,109
Monroe,742,28389,591203,4.8,4.6,36055,110
Essex,456,2586,31540,8.2,7.5,36031,106
Dutchess,602,11428,237468,4.8,4.1,36027,103
Kings,1213,79284,2028266,3.9,3.8,36047,102
Queens,934,68655,1876865,3.7,3.5,36081,102
New York,1037,50339,1397738,3.6,3.4,36061,102
Schoharie,389,2067,25121,8.2,6.5,36095,105
Fulton,506,3494,42724,8.2,7.6,36035,105
Onondaga,834,22078,365540,6,5.3,36067,108
Albany,728,15964,250735,6.4,6.7,36010,104
Chenango,437,3453,38234,9,8.6,36017,109
Cattaraugus,620,6981,59956,11.6,10,36090,111
Jefferson,474,6355,87030,7.3,7.6,36045,107
St. Lawrence,463,10860,87753,12.4,12.6,36089,107
Washington,564,3516,49894,7,5.9,36115,106
Oneida,549,17024,180759,9.4,7.4,36065,108
