FIPS,State,County,% Adults with Obesity
1000,Alabama,,36
1001,Alabama,Autauga,33
1003,Alabama,Baldwin,31
1005,Alabama,Barbour,42
1007,Alabama,Bibb,38
1009,Alabama,Blount,34
1011,Alabama,Bullock,37
1013,Alabama,Butler,43
1015,Alabama,Calhoun,39
1017,Alabama,Chambers,40
1019,Alabama,Cherokee,35
1021,Alabama,Chilton,38
1023,Alabama,Choctaw,41
1025,Alabama,Clarke,34
1027,Alabama,Clay,41
1029,Alabama,Cleburne,37
1031,Alabama,Coffee,34
1033,Alabama,Colbert,31
1035,Alabama,Conecuh,43
1037,Alabama,Coosa,40
1039,Alabama,Covington,32
1041,Alabama,Crenshaw,38
1043,Alabama,Cullman,37
1045,Alabama,Dale,37
1047,Alabama,Dallas,43
1049,Alabama,DeKalb,29
1051,Alabama,Elmore,34
1053,Alabama,Escambia,39
1055,Alabama,Etowah,36
1057,Alabama,Fayette,41
1059,Alabama,Franklin,34
1061,Alabama,Geneva,39
1063,Alabama,Greene,36
1065,Alabama,Hale,40
1067,Alabama,Henry,36
1069,Alabama,Houston,38
1071,Alabama,Jackson,39
1073,Alabama,Jefferson,35
1075,Alabama,Lamar,36
1077,Alabama,Lauderdale,33
1079,Alabama,Lawrence,33
1081,Alabama,Lee,30
1083,Alabama,Limestone,34
1085,Alabama,Lowndes,47
1087,Alabama,Macon,50
1089,Alabama,Madison,33
1091,Alabama,Marengo,42
1093,Alabama,Marion,37
1095,Alabama,Marshall,34
1097,Alabama,Mobile,36
1099,Alabama,Monroe,42
1101,Alabama,Montgomery,38
1103,Alabama,Morgan,32
1105,Alabama,Perry,43
1107,Alabama,Pickens,35
1109,Alabama,Pike,36
1111,Alabama,Randolph,37
1113,Alabama,Russell,45
1115,Alabama,St. Clair,37
1117,Alabama,Shelby,35
1119,Alabama,Sumter,43
1121,Alabama,Talladega,39
1123,Alabama,Tallapoosa,36
1125,Alabama,Tuscaloosa,35
1127,Alabama,Walker,40
1129,Alabama,Washington,33
1131,Alabama,Wilcox,48
1133,Alabama,Winston,38
2000,Alaska,,33
2013,Alaska,Aleutians East,51
2016,Alaska,Aleutians West,44
2020,Alaska,Anchorage,32
2050,Alaska,Bethel,31
2060,Alaska,Bristol Bay,42
2068,Alaska,Denali,25
2070,Alaska,Dillingham,36
2090,Alaska,Fairbanks North Star,30
2100,Alaska,Haines,27
2105,Alaska,Hoonah-Angoon,32
2110,Alaska,Juneau,27
2122,Alaska,Kenai Peninsula,33
2130,Alaska,Ketchikan Gateway,38
2150,Alaska,Kodiak Island,34
2158,Alaska,Kusilvak,23
2164,Alaska,Lake and Peninsula,38
2170,Alaska,Matanuska-Susitna,34
2180,Alaska,Nome,40
2185,Alaska,North Slope,40
2188,Alaska,Northwest Arctic,42
2195,Alaska,Petersburg,25
2198,Alaska,Prince of Wales-Hyder,45
2220,Alaska,Sitka,27
2230,Alaska,Skagway,33
2240,Alaska,Southeast Fairbanks,33
2261,Alaska,Valdez-Cordova,35
2275,Alaska,Wrangell,43
2282,Alaska,Yakutat,32
2290,Alaska,Yukon-Koyukuk,31
4000,Arizona,,28
4001,Arizona,Apache,34
4003,Arizona,Cochise,30
4005,Arizona,Coconino,24
4007,Arizona,Gila,31
4009,Arizona,Graham,35
4011,Arizona,Greenlee,29
4012,Arizona,La Paz,30
4013,Arizona,Maricopa,27
4015,Arizona,Mohave,32
4017,Arizona,Navajo,34
4019,Arizona,Pima,25
4021,Arizona,Pinal,33
4023,Arizona,Santa Cruz,27
4025,Arizona,Yavapai,23
4027,Arizona,Yuma,37
5000,Arkansas,,34
5001,Arkansas,Arkansas,31
5003,Arkansas,Ashley,43
5005,Arkansas,Baxter,34
5007,Arkansas,Benton,29
5009,Arkansas,Boone,34
5011,Arkansas,Bradley,46
5013,Arkansas,Calhoun,29
5015,Arkansas,Carroll,28
5017,Arkansas,Chicot,39
5019,Arkansas,Clark,27
5021,Arkansas,Clay,43
5023,Arkansas,Cleburne,37
5025,Arkansas,Cleveland,36
5027,Arkansas,Columbia,36
5029,Arkansas,Conway,37
5031,Arkansas,Craighead,38
5033,Arkansas,Crawford,35
5035,Arkansas,Crittenden,41
5037,Arkansas,Cross,39
5039,Arkansas,Dallas,39
5041,Arkansas,Desha,38
5043,Arkansas,Drew,41
5045,Arkansas,Faulkner,35
5047,Arkansas,Franklin,34
5049,Arkansas,Fulton,28
5051,Arkansas,Garland,30
5053,Arkansas,Grant,36
5055,Arkansas,Greene,36
5057,Arkansas,Hempstead,29
5059,Arkansas,Hot Spring,36
5061,Arkansas,Howard,45
5063,Arkansas,Independence,29
5065,Arkansas,Izard,35
5067,Arkansas,Jackson,43
5069,Arkansas,Jefferson,41
5071,Arkansas,Johnson,40
5073,Arkansas,Lafayette,46
5075,Arkansas,Lawrence,32
5077,Arkansas,Lee,39
5079,Arkansas,Lincoln,33
5081,Arkansas,Little River,38
5083,Arkansas,Logan,33
5085,Arkansas,Lonoke,43
5087,Arkansas,Madison,35
5089,Arkansas,Marion,29
5091,Arkansas,Miller,34
5093,Arkansas,Mississippi,41
5095,Arkansas,Monroe,39
5097,Arkansas,Montgomery,29
5099,Arkansas,Nevada,36
5101,Arkansas,Newton,32
