State,FIPS,County,Population,% 65 and over
New York,36000,,19542209,16.4
New York,36001,Albany,307117,17
New York,36003,Allegany,46430,19
New York,36005,Bronx,1432132,12.8
New York,36007,Broome,191659,19.1
New York,36009,Cattaraugus,76840,19.2
New York,36011,Cayuga,77145,19.1
New York,36013,Chautauqua,127939,20.1
New York,36015,Chemung,84254,19
New York,36017,Chenango,47536,20.4
New York,36019,Clinton,80695,17.1
New York,36021,Columbia,59916,23.8
New York,36023,Cortland,47823,16.5
New York,36025,Delaware,44527,24.5
New York,36027,Dutchess,293718,17.6
New York,36029,Erie,919719,17.9
New York,36031,Essex,37300,23.4
New York,36033,Franklin,50293,16.8
New York,36035,Fulton,53591,19.6
New York,36037,Genesee,57511,18.7
New York,36039,Greene,47491,22.1
New York,36041,Hamilton,4434,31.3
New York,36043,Herkimer,61833,20.7
New York,36045,Jefferson,111755,13.7
New York,36047,Kings,2582830,13.9
New York,36049,Lewis,26447,18.3
New York,36051,Livingston,63227,17.9
New York,36053,Madison,70795,18.3
New York,36055,Monroe,742474,17.2
New York,36057,Montgomery,49455,18.6
New York,36059,Nassau,1358343,17.8
New York,36061,New York,1628701,16.5
New York,36063,Niagara,210433,19.1
New York,36065,Oneida,229577,18.8
New York,36067,Onondaga,461809,17
New York,36069,Ontario,109864,19.9
New York,36071,Orange,381951,14
New York,36073,Orleans,40612,17.9
New York,36075,Oswego,117898,16.3
New York,36077,Otsego,59749,21.2
New York,36079,Putnam,98892,17.4
New York,36081,Queens,2278906,15.7
New York,36083,Rensselaer,159442,17
New York,36085,Richmond,476179,16.2
New York,36087,Rockland,325695,15.7
New York,36089,St. Lawrence,108047,17.4
New York,36091,Saratoga,230163,18.1
New York,36093,Schenectady,155350,17.1
New York,36095,Schoharie,31097,21.9
New York,36097,Schuyler,17912,21.3
New York,36099,Seneca,34300,19.2
New York,36101,Steuben,95796,19.7
New York,36103,Suffolk,1481093,16.9
New York,36105,Sullivan,75498,18.9
New York,36107,Tioga,48560,20.3
New York,36109,Tompkins,102793,14.5
New York,36111,Ulster,178599,19.8
New York,36113,Warren,64265,22.2
New York,36115,Washington,61197,19.5
New York,36117,Wayne,90064,18.9
New York,36119,Westchester,967612,17.1
New York,36121,Wyoming,40085,17.9
New York,36123,Yates,24841,20.8
