Geography,FIPS,PopulationEstJuly2018,PopulationEstJuly2018_65plus
United States,,327167434,52431193
Alabama,01000,4887871,826894
Alaska,02000,737438,87011
Arizona,04000,7171646,1258250
Arkansas,05000,3013825,511827
California,06000,39557045,5669025
Colorado,08000,5695564,808229
Connecticut,09000,3572665,615121
Delaware,10000,967171,181086
District of Columbia,11000,702455,85303
Florida,12000,21299325,4358071
Georgia,13000,10519475,1460409
Hawaii,15000,1420491,260967
Idaho,16000,1754208,278282
Illinois,17000,12741080,1992961
Indiana,18000,6691878,1055021
Iowa,19000,3156145,539830
Kansas,20000,2911505,462241
Kentucky,21000,4468402,730626
Louisiana,22000,4659978,718433
Maine,23000,1338404,275999
Maryland,24000,6042718,931136
Massachusetts,25000,6902149,1139100
Michigan,26000,9995915,1716604
Minnesota,27000,5611179,889802
Mississippi,28000,2986530,474475
Missouri,29000,6126452,1033964
Montana,30000,1062305,198902
Nebraska,31000,1929268,303666
Nevada,32000,3034392,476181
New Hampshire,33000,1356458,245645
New Jersey,34000,8908520,1438527
New Mexico,35000,2095428,366189
New York,36000,19542209,3213534
North Carolina,37000,10383620,1689265
North Dakota,38000,760077,116637
Ohio,39000,11689442,1995022
Oklahoma,40000,3943079,619553
Oregon,41000,4190713,738691
Pennsylvania,42000,12807060,2335630
Rhode Island,44000,1057315,182254
South Carolina,45000,5084127,899915
South Dakota,46000,882235,146854
Tennessee,47000,6770010,1109697
Texas,48000,28701845,3602320
Utah,49000,3161105,350478
Vermont,50000,626299,121207
Virginia,51000,8517685,1315401
Washington,53000,7535591,1164232
West Virginia,54000,1805832,359878
Wisconsin,55000,5813568,985473
Wyoming,56000,577737,95375
