FIPS,State,County,Population,% 65 and over
01000,Alabama,,4887871,16.9
01001,Alabama,Autauga,55601,15.6
01003,Alabama,Baldwin,218022,20.4
01005,Alabama,Barbour,24881,19.4
01007,Alabama,Bibb,22400,16.5
01009,Alabama,Blount,57840,18.2
01011,Alabama,Bullock,10138,16.4
01013,Alabama,Butler,19680,20.3
01015,Alabama,Calhoun,114277,17.7
01017,Alabama,Chambers,33615,19.5
01019,Alabama,Cherokee,26032,23.0
01021,Alabama,Chilton,44153,16.8
01023,Alabama,Choctaw,12841,23.0
01025,Alabama,Clarke,23920,19.9
01027,Alabama,Clay,13275,20.7
01029,Alabama,Cleburne,14987,19.5
01031,Alabama,Coffee,51909,17.0
01033,Alabama,Colbert,54762,19.9
01035,Alabama,Conecuh,12277,22.5
01037,Alabama,Coosa,10715,23.2
01039,Alabama,Covington,36986,21.1
01041,Alabama,Crenshaw,13824,19.0
01043,Alabama,Cullman,83442,18.5
01045,Alabama,Dale,48956,16.9
01047,Alabama,Dallas,38310,18.1
01049,Alabama,DeKalb,71385,17.3
01051,Alabama,Elmore,81887,15.1
01053,Alabama,Escambia,36748,17.9
01055,Alabama,Etowah,102501,19.0
01057,Alabama,Fayette,16433,21.1
01059,Alabama,Franklin,31363,16.9
01061,Alabama,Geneva,26314,20.3
01063,Alabama,Greene,8233,22.3
01065,Alabama,Hale,14726,19.2
01067,Alabama,Henry,17209,22.7
01069,Alabama,Houston,104722,17.8
01071,Alabama,Jackson,51736,20.0
01073,Alabama,Jefferson,659300,15.9
01075,Alabama,Lamar,13844,21.7
01077,Alabama,Lauderdale,92387,20.1
01079,Alabama,Lawrence,32957,18.7
01081,Alabama,Lee,163941,11.9
01083,Alabama,Limestone,96174,15.2
01085,Alabama,Lowndes,9974,18.8
01087,Alabama,Macon,18439,20.4
01089,Alabama,Madison,366519,15.0
01091,Alabama,Marengo,19066,19.6
01093,Alabama,Marion,29763,21.2
01095,Alabama,Marshall,96109,17.0
01097,Alabama,Mobile,413757,16.2
01099,Alabama,Monroe,21067,20.3
01101,Alabama,Montgomery,225763,15.1
01103,Alabama,Morgan,119089,17.5
01105,Alabama,Perry,9140,19.4
01107,Alabama,Pickens,19938,19.0
01109,Alabama,Pike,33338,15.0
01111,Alabama,Randolph,22725,20.4
01113,Alabama,Russell,57781,14.3
01115,Alabama,St. Clair,88690,16.6
01117,Alabama,Shelby,215707,15.3
01119,Alabama,Sumter,12691,18.0
01121,Alabama,Talladega,79828,18.0
01123,Alabama,Tallapoosa,40497,21.6
01125,Alabama,Tuscaloosa,208911,13.3
01127,Alabama,Walker,63711,19.3
01129,Alabama,Washington,16378,19.1
01131,Alabama,Wilcox,10627,19.4
01133,Alabama,Winston,23660,21.6
02000,Alaska,,737438,11.8
