FIPS,State,County,% Adults with Diabetes
1000,Alabama,,14
1001,Alabama,Autauga,11
1003,Alabama,Baldwin,11
1005,Alabama,Barbour,18
1007,Alabama,Bibb,15
1009,Alabama,Blount,17
1011,Alabama,Bullock,24
1013,Alabama,Butler,19
1015,Alabama,Calhoun,18
1017,Alabama,Chambers,20
1019,Alabama,Cherokee,15
1021,Alabama,Chilton,19
1023,Alabama,Choctaw,17
1025,Alabama,Clarke,22
1027,Alabama,Clay,14
1029,Alabama,Cleburne,13
1031,Alabama,Coffee,16
1033,Alabama,Colbert,16
1035,Alabama,Conecuh,26
1037,Alabama,Coosa,21
1039,Alabama,Covington,15
1041,Alabama,Crenshaw,18
1043,Alabama,Cullman,19
1045,Alabama,Dale,16
1047,Alabama,Dallas,16
1049,Alabama,DeKalb,13
1051,Alabama,Elmore,16
1053,Alabama,Escambia,19
1055,Alabama,Etowah,16
1057,Alabama,Fayette,23
1059,Alabama,Franklin,15
1061,Alabama,Geneva,17
1063,Alabama,Greene,15
1065,Alabama,Hale,18
1067,Alabama,Henry,17
1069,Alabama,Houston,14
1071,Alabama,Jackson,17
1073,Alabama,Jefferson,13
1075,Alabama,Lamar,19
1077,Alabama,Lauderdale,14
1079,Alabama,Lawrence,19
1081,Alabama,Lee,9
1083,Alabama,Limestone,14
1085,Alabama,Lowndes,14
1087,Alabama,Macon,23
1089,Alabama,Madison,14
1091,Alabama,Marengo,18
1093,Alabama,Marion,20
1095,Alabama,Marshall,12
1097,Alabama,Mobile,14
1099,Alabama,Monroe,18
1101,Alabama,Montgomery,14
1103,Alabama,Morgan,13
1105,Alabama,Perry,16
1107,Alabama,Pickens,15
1109,Alabama,Pike,12
1111,Alabama,Randolph,17
1113,Alabama,Russell,19
1115,Alabama,St. Clair,14
1117,Alabama,Shelby,11
1119,Alabama,Sumter,21
1121,Alabama,Talladega,16
1123,Alabama,Tallapoosa,16
1125,Alabama,Tuscaloosa,12
1127,Alabama,Walker,14
1129,Alabama,Washington,17
1131,Alabama,Wilcox,20
1133,Alabama,Winston,20
2000,Alaska,,8
2013,Alaska,Aleutians East,13
2016,Alaska,Aleutians West,10
2020,Alaska,Anchorage,8
2050,Alaska,Bethel,6
2060,Alaska,Bristol Bay,15
2068,Alaska,Denali,5
2070,Alaska,Dillingham,10
2090,Alaska,Fairbanks North Star,6
2100,Alaska,Haines,7
2105,Alaska,Hoonah-Angoon,14
2110,Alaska,Juneau,7
2122,Alaska,Kenai Peninsula,8
2130,Alaska,Ketchikan Gateway,9
2150,Alaska,Kodiak Island,8
2158,Alaska,Kusilvak,5
2164,Alaska,Lake and Peninsula,10
2170,Alaska,Matanuska-Susitna,9
2180,Alaska,Nome,7
2185,Alaska,North Slope,8
2188,Alaska,Northwest Arctic,11
2195,Alaska,Petersburg,8
2198,Alaska,Prince of Wales-Hyder,14
2220,Alaska,Sitka,8
2230,Alaska,Skagway,6
2240,Alaska,Southeast Fairbanks,10
2261,Alaska,Valdez-Cordova,11
2275,Alaska,Wrangell,14
2282,Alaska,Yakutat,8
2290,Alaska,Yukon-Koyukuk,9
4000,Arizona,,10
4001,Arizona,Apache,17
4003,Arizona,Cochise,11
4005,Arizona,Coconino,8
4007,Arizona,Gila,15
4009,Arizona,Graham,10
4011,Arizona,Greenlee,12
4012,Arizona,La Paz,14
4013,Arizona,Maricopa,9
4015,Arizona,Mohave,14
