County,Sample Size,Est. Count,Est. Denominator,Crude Rate,Age-adjusted Rate,FIPS,DSRIP Region Sort Key
Chemung,486,8584,66323,12.9,11.8,36015,110
Onondaga,832,26094,364268,7.2,6.2,36067,108
Delaware,421,3402,36923,9.2,6.8,36025,109
Warren,563,3076,51602,6,4.6,36113,106
Sullivan,478,4911,57842,8.5,7.3,36105,103
Kings,1196,121596,1986288,6.1,6.2,36047,102
Otsego,476,3757,50078,7.5,5.9,36077,105
Wyoming,428,3642,32903,11.1,9.4,36121,111
Schoharie,391,2255,25211,8.9,6.6,36095,105
Broome,475,17385,155858,11.2,9.4,36007,109
Rockland,535,18448,237793,7.8,6.2,36087,103
Wayne,573,7015,71131,9.9,7.9,36117,110
Ontario,506,6684,87618,7.6,6.1,36069,110
Ulster,529,13083,146180,8.9,7.3,36111,103
Nassau,591,77446,1067933,7.3,6.4,36059,101
Lewis,318,1078,20177,5.3,4.2,36049,107
Tompkins,453,6290,88793,7.1,7.7,36109,109
Seneca,471,3471,27230,12.7,9.9,36099,110
Tioga,425,3572,37993,9.4,7.2,36107,109
Fulton,503,4160,42632,9.8,7.5,36035,105
Queens,927,143720,1861131,7.7,7.6,36081,102
Niagara,421,17090,169335,10.1,7.9,36063,111
Allegany,491,4537,37552,12.1,11.9,36003,111
Schenectady,460,10794,120329,9,8,36093,104
Greene,404,4083,38876,10.5,8.9,36039,104
Hamilton,360,414,3950,10.5,6.3,36041,106
Rensselaer,486,12155,128429,9.5,8.8,36083,104
Saratoga,818,15654,180221,8.7,7.4,36091,104
Washington,560,5262,49626,10.6,8.2,36115,106
Herkimer,446,4057,48393,8.4,7.3,36043,105
Jefferson,470,6616,86598,7.6,7,36045,107
Cattaraugus,617,7043,59594,11.8,9.9,36009,111
Bronx,677,72066,1078197,6.7,6.7,36005,102
Oneida,552,14582,180470,8.1,6.7,36065,108
St. Lawrence,459,9181,87414,10.5,9.7,36089,107
Yates,377,1501,18771,8,7.6,36123,110
Steuben,446,11089,75059,14.8,12.6,36101,110
Franklin,470,4514,39576,11.4,9.8,36033,106
Madison,360,3544,56651,6.3,5.5,36053,108
Columbia,478,4156,49885,8.3,5.8,36021,104
Clinton,655,6634,65138,10.2,9.3,36019,106
Monroe,739,41531,586426,7.1,6,36055,110
Chenango,436,4746,38058,12.5,9.8,36017,109
Orange,630,19381,281554,6.9,6.4,36071,103
Montgomery,382,6226,38382,16.2,14.4,36057,105
Chautauqua,1033,9966,102125,9.8,7.9,36013,111
Essex,455,3102,31488,9.9,8.5,36031,106
Cayuga,593,6063,61965,9.8,8.8,36011,108
Suffolk,588,108609,1172200,9.3,7.7,36103,101
Genesee,505,4588,46118,9.9,7.8,36037,111
Orleans,381,3334,33032,10.1,8.6,36073,111
Westchester,665,55997,757617,7.4,6.1,36119,103
Schuyler,405,1267,14542,8.7,6.1,36097,110
Cortland,478,3016,38721,7.8,7.2,36023,108
Livingston,397,4558,52940,8.6,7.7,36051,110
New York,1032,86549,1393479,6.2,6.4,36061,102
Putnam,486,4254,78678,5.4,4.4,36079,103
Richmond,528,23946,372183,6.4,5.8,36085,102
Albany,728,18390,249490,7.4,6.6,36001,104
Erie,799,72348,726978,10,7.9,36029,111
Oswego,484,9955,93771,10.6,9.1,36075,108
Dutchess,599,17417,236993,7.3,6.1,36027,103
