County,Sample Size,Est. Count,Est. Denominator,Crude Rate,Age-adjusted Rate,FIPS,DSRIP Region Sort Key
Herkimer,441,19710,42311,46.6,37.6,36043,105
Putnam,418,26777,68884,38.9,31.4,36079,103
Chemung,456,22274,52555,42.4,34,36015,110
Clinton,468,20963,53237,39.4,35.4,36019,106
Chautauqua,429,29994,84211,35.6,29.2,36013,111
Oswego,481,30380,79735,38.1,34.2,36075,108
Westchester,636,243964,639680,38.1,34.2,36119,103
Erie,915,245487,593914,41.3,36.8,36029,111
Seneca,443,8447,19397,43.6,32.4,36099,110
Sullivan,357,18288,49131,37.2,28.6,36105,103
Livingston,419,18547,41546,44.6,41.1,36051,110
Suffolk,482,375671,965798,38.9,34.2,36103,101
Onondaga,738,107860,285585,37.8,33.5,36067,108
Tioga,418,11899,32896,36.2,28.4,36107,109
Madison,361,17958,43470,41.3,39.8,36053,108
Delaware,413,12639,31175,40.5,27.7,36025,109
Yates,342,4838,12954,37.4,28.2,36123,110
Fulton,455,14137,34163,41.4,31.9,36035,105
Cortland,396,13189,29266,45.1,41,36023,108
Cayuga,417,18376,51841,35.4,30.9,36011,108
Orleans,401,10875,27707,39.3,36.5,36073,111
Hamilton,337,1541,3414,45.1,31.7,36041,106
Schenectady,492,42198,103210,40.9,35.6,36093,104
Nassau,466,326702,896363,36.4,32.7,36059,101
Franklin,374,11770,27680,42.5,33,36033,106
Broome,560,48082,121194,39.7,34.5,36007,109
Saratoga,805,52680,145341,36.2,30.7,36091,104
Ulster,412,37942,120892,31.4,26.1,36111,103
Jefferson,469,23275,63707,36.5,33.6,36045,107
Wayne,446,22028,58584,37.6,30.7,36117,110
Otsego,404,15516,41943,37,30.5,36077,105
Allegany,432,12563,29827,42.1,35.8,36003,111
Orange,460,87852,218481,40.2,36.2,36071,103
Rockland,421,74862,177620,42.1,38.1,36087,103
New York City,803,1955143,5307373,36.8,34.9,NA,102
Wyoming,409,10706,26517,40.4,34.8,36121,111
Tompkins,414,20816,57135,36.4,31.8,36109,109
Washington,458,15490,38513,40.2,32.9,36115,106
Genesee,428,15958,37671,42.4,36.6,36037,111
Ontario,457,25027,72300,34.6,32.4,36069,110
Chenango,403,14324,34272,41.8,37.2,36017,109
Niagara,449,52484,140550,37.3,30.3,36063,111
Albany,861,70939,205257,34.6,31.5,36001,104
St. Lawrence,448,26942,67564,39.9,35,36089,107
Steuben,575,23164,60868,38.1,29.1,36101,110
Montgomery,387,12654,32094,39.4,33,36057,105
Monroe,874,172179,464547,37.1,32.9,36055,110
Rensselaer,516,39271,106273,37,32.9,36083,104
Columbia,420,18461,41508,44.5,37.9,36021,104
Lewis,374,5383,16031,33.6,26.4,36049,107
Dutchess,479,74125,209225,35.4,32.3,36027,103
Oneida,586,59887,147378,40.6,36.2,36065,108
Cattaraugus,424,20464,45563,44.9,35.3,36009,111
Essex,403,9971,24273,41.1,30.7,36031,106
Schoharie,416,7919,21028,37.7,32.7,36095,105
Warren,373,14818,44952,33,25.3,36113,106
Greene,375,11563,32610,35.5,26.7,36039,104
Schuyler,365,4132,10172,40.6,27.8,36097,110
