FIPS,State or County,TotalPopulation,PediatricAsthma,AdultAsthma,COPD,AdultChronicLungDisease,LungCancer
01000,Alabama,"4,887,871","143,828","401,068","803,194","392,647","3,212"
01001,Autauga,"55,601","1,737","4,492","4,379","9,105",37
01003,Baldwin,"218,022","6,217","18,036","18,817","36,696",143
01005,Barbour,"24,881",685,"2,074","2,080","4,132",17
01007,Bibb,"22,400",605,"1,883","1,825","3,687",15
01009,Blount,"57,840","1,767","4,694","4,747","9,592",38
01011,Bullock,"10,138",282,845,816,"1,663",7
01013,Butler,"19,680",578,"1,612","1,657","3,285",13
01015,Calhoun,"114,277","3,259","9,456","9,353","18,874",75
01017,Chambers,"33,615",923,"2,812","2,884","5,638",22
01019,Cherokee,"26,032",659,"2,221","2,407","4,475",17
01021,Chilton,"44,153","1,385","3,558","3,524","7,262",29
01023,Choctaw,"12,841",339,"1,084","1,173","2,200",8
01025,Clarke,"23,920",686,"1,977","2,044","4,013",16
01027,Clay,"13,275",355,"1,118","1,173","2,249",9
01029,Cleburne,"14,987",450,"1,222","1,264","2,508",10
01031,Coffee,"51,909","1,621","4,184","4,123","8,519",34
01033,Colbert,"54,762","1,501","4,577","4,692","9,177",36
01035,Conecuh,"12,277",337,"1,025","1,097","2,089",8
01037,Coosa,"10,715",235,947,"1,039","1,869",7
01039,Covington,"36,986","1,068","3,048","3,209","6,239",24
01041,Crenshaw,"13,824",417,"1,126","1,157","2,307",9
01043,Cullman,"83,442","2,475","6,826","6,877","13,837",55
01045,Dale,"48,956","1,484","3,977","3,863","8,003",32
01047,Dallas,"38,310","1,204","3,083","3,120","6,344",25
01049,DeKalb,"71,385","2,268","5,726","5,719","11,761",47
01051,Elmore,"81,887","2,403","6,739","6,460","13,379",54
01053,Escambia,"36,748","1,085","3,010","2,990","6,065",24
01055,Etowah,"102,501","2,903","8,499","8,637","17,101",67
01057,Fayette,"16,433",458,"1,366","1,431","2,772",11
01059,Franklin,"31,363","1,016","2,500","2,473","5,143",21
01061,Geneva,"26,314",761,"2,170","2,271","4,432",17
01063,Greene,"8,233",241,674,716,"1,390",5
01065,Hale,"14,726",448,"1,195","1,217","2,447",10
01067,Henry,"17,209",468,"1,438","1,531","2,921",11
01069,Houston,"104,722","3,183","8,507","8,480","17,278",69
01071,Jackson,"51,736","1,426","4,324","4,497","8,722",34
01073,Jefferson,"659,300","19,805","53,749","51,356","107,283",431
01075,Lamar,"13,844",391,"1,148","1,218","2,345",9
01077,Lauderdale,"92,387","2,398","7,815","7,889","15,423",61
01079,Lawrence,"32,957",939,"2,736","2,824","5,538",22
01081,Lee,"163,941","4,605","13,596","11,607","25,760",108
01083,Limestone,"96,174","2,863","7,896","7,696","15,808",64
01085,Lowndes,"9,974",298,816,839,"1,668",7
01087,Macon,"18,439",411,"1,608","1,571","3,056",12
01089,Madison,"366,519","10,553","30,350","29,165","60,026",241
01091,Marengo,"19,066",572,"1,554","1,601","3,184",12
01093,Marion,"29,763",816,"2,488","2,619","5,037",20
01095,Marshall,"96,109","3,159","7,624","7,597","15,787",63
01097,Mobile,"413,757","12,763","33,472","32,375","67,515",271
01099,Monroe,"21,067",600,"1,745","1,825","3,551",14
01101,Montgomery,"225,763","6,965","18,255","17,182","36,491",147
01103,Morgan,"119,089","3,585","9,722","9,770","19,742",79
01105,Perry,"9,140",256,756,744,"1,503",6
01107,Pickens,"19,938",517,"1,692","1,712","3,338",13
01109,Pike,"33,338",835,"2,833","2,472","5,286",22
01111,Randolph,"22,725",643,"1,885","1,974","3,834",15
01113,Russell,"57,781","1,843","4,633","4,369","9,339",38
01115,St. Clair,"88,690","2,656","7,257","7,197","14,646",59
01117,Shelby,"215,707","6,684","17,480","17,010","35,330",142
01119,Sumter,"12,691",318,"1,081","1,030","2,077",8
01121,Talladega,"79,828","2,233","6,651","6,682","13,285",52
01123,Tallapoosa,"40,497","1,104","3,392","3,608","6,885",27
01125,Tuscaloosa,"208,911","5,775","17,384","15,192","33,080",137
01127,Walker,"63,711","1,866","5,235","5,387","10,658",42
01129,Washington,"16,378",476,"1,351","1,398","2,750",11
01131,Wilcox,"10,627",333,854,875,"1,765",7
01133,Winston,"23,660",638,"1,989","2,122","4,031",16
02000,Alaska,"737,438","13,156","50,841","32,584","86,591",409
02013,Aleutians East Borough,"3,515",20,305,183,448,2
02016,Aleutians West Census Area,"5,723",46,482,280,715,3
02020,Anchorage Municipality,"291,538","5,106","20,168","12,616","34,005",161
02050,Bethel Census Area,"18,216",468,"1,070",635,"1,974",10
02060,Bristol Bay Borough,877,12,66,45,110,0
02068,Denali Borough,"2,059",27,158,104,257,1
02070,Dillingham Census Area,"5,000",113,315,196,563,3
02090,Fairbanks North Star Borough,"98,971","1,708","6,791","4,061","11,312",55
02100,Haines Borough,"2,474",30,191,150,327,1
02105,Hoonah-Angoon Census Area,"2,151",28,164,131,285,1
02110,Juneau City and Borough,"32,113",489,"2,338","1,552","3,905",18
02122,Kenai Peninsula Borough,"58,533",947,"4,185","3,050","7,276",32
02130,Ketchikan Gateway Borough,"13,918",222,999,697,"1,708",8
02150,Kodiak Island Borough,"13,345",245,914,569,"1,551",7
02158,Lake and Peninsula Borough,"1,587",32,105,67,863,1
02164,Matanuska-Susitna Borough,"107,610","2,065","7,272","4,753",184,60
02170,Nome Census Area,"10,008",248,599,353,"12,632",6
02180,North Slope Borough,"9,872",187,686,408,"1,089",6
02185,Northwest Arctic Borough,"7,671",194,456,268,"1,149",4
02188,Petersburg Census Area,"3,221",48,236,176,833,2
02195,Prince of Wales-Hyder Census Area,"6,422",105,461,337,408,4
02198,Sitka City and Borough,"8,647",133,624,432,803,5
02220,Skagway Municipality,"1,148",13,88,58,"1,059",1
02230,Southeast Fairbanks Census Area,"6,918",125,477,330,142,4
02240,Valdez-Cordova Census Area,"9,164",154,657,451,833,5
02261,Kusilvak Census Area,"8,303",243,448,252,"1,123",5
02275,Wrangell City and Borough,"2,503",36,186,148,327,1
02282,Yakutat City and Borough,604,8,46,34,78,0
02290,Yukon-Koyukuk Census Area,"5,327",104,354,248,632,3
04000,Arizona,"7,171,646","132,423","558,676","937,206","397,618","3,204"
04001,Apache,"71,818","1,573","5,322","3,728","9,185",32
04003,Cochise,"126,770","2,202","10,015","7,771","17,143",57
04005,Coconino,"142,854","2,374","11,338","6,940","17,841",64
04007,Gila,"53,889",873,"4,363","3,814","7,715",24
04009,Graham,"38,072",829,"2,790","1,838","4,736",17
04011,Greenlee,"9,483",209,697,457,"1,182",4
04012,La Paz,"21,098",285,"1,733","1,698","3,157",9
04013,Maricopa,"4,410,824","84,871","340,115","231,647","566,420","1,970"
04015,Mohave,"209,550","2,881","17,610","15,506","30,586",94
04017,Navajo,"110,445","2,376","8,223","6,101","14,409",49
04019,Pima,"1,039,073","17,472","82,678","60,474","137,946",464
04021,Pinal,"447,138","8,124","34,832","26,058","59,336",201
04023,Santa Cruz,"46,511","1,002","3,455","2,555","6,052",21
04025,Yavapai,"231,993","3,038","19,703","17,642","34,262",103
