"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	214	71485	299.363503
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	674	227926	295.710011
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	179	45241	395.658805
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	135	33741	400.106695
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	231	82930	278.548173
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	93	17449	532.981833
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	159	30640	518.929504
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	725	173528	417.800009
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	225	55291	406.937838
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	121	39464	306.608555
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	224	63216	354.340673
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	110	24202	454.507892
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	168	41439	405.415189
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	96	22037	435.630984
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	85	23000	369.565217
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	218	68518	318.164570
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	319	86474	368.897010
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"NonCore (Nonmetro)"	"6"	92	20931	439.539439
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Micropolitan (Nonmetro)"	"5"	68	19012	357.668841
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (Nonmetro)"	"6"	200	56411	354.540781
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"NonCore (Nonmetro)"	"6"	92	20666	445.175651
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (Nonmetro)"	"5"	423	121645	347.733158
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (Nonmetro)"	"5"	249	76773	324.332773
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (Nonmetro)"	"5"	331	66499	497.751846
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (Nonmetro)"	"6"	323	102485	315.168073
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	280	110635	253.084467
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (Nonmetro)"	"6"	231	60230	383.529802
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	676	159730	423.214174
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (Nonmetro)"	"6"	92	28498	322.829672
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (Nonmetro)"	"6"	179	47929	373.469090
