"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	440	86488	508.74110
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	1375	303121	453.61423
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	209	43776	477.43056
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	226	37584	601.31971
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	480	89399	536.91876
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	103	17486	589.04266
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	232	30957	749.42662
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	1212	181422	668.05569
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	408	53031	769.36132
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	319	40488	787.88777
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	434	68751	631.26355
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	138	20490	673.49927
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	207	38044	544.10682
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	110	20790	529.10053
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	176	22960	766.55052
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	341	79986	426.32461
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	544	84636	642.75249
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"NonCore (Nonmetro)"	"6"	157	19163	819.28717
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Micropolitan (Nonmetro)"	"5"	109	18102	602.14341
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (Nonmetro)"	"6"	370	57377	644.85770
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"NonCore (Nonmetro)"	"6"	151	21422	704.88283
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (Nonmetro)"	"5"	748	125269	597.11501
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (Nonmetro)"	"5"	404	78144	516.99427
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (Nonmetro)"	"5"	484	62925	769.16965
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (Nonmetro)"	"6"	641	109185	587.07698
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	627	130233	481.44480
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (Nonmetro)"	"6"	394	60178	654.72432
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	1156	162163	712.86298
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (Nonmetro)"	"6"	182	25768	706.30239
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (Nonmetro)"	"6"	331	48227	686.33753
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Small Metro"	"4"	249	41276	603.25613
	"Alabama"	"01"	"Greene County, AL"	"01063"	"NonCore (Nonmetro)"	"6"	122	13112	930.44539
	"Alabama"	"01"	"Hale County, AL"	"01065"	"Small Metro"	"4"	153	23178	660.10872
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Small Metro"	"4"	145	26424	548.74357
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	780	162094	481.20227
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (Nonmetro)"	"5"	599	82482	726.21905
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	6091	1059087	575.11800
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"NonCore (Nonmetro)"	"6"	136	21675	627.45098
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	771	138847	555.28747
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	361	53571	673.87206
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	931	219433	424.27529
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	611	147342	414.68149
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	"Medium Metro"	"3"	130	16060	809.46451
	"Alabama"	"01"	"Macon County, AL"	"01087"	"NonCore (Nonmetro)"	"6"	205	27378	748.77639
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	2338	562310	415.78489
	"Alabama"	"01"	"Marengo County, AL"	"01091"	"NonCore (Nonmetro)"	"6"	192	30101	637.85256
