"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	33972	6946936	489.02135
	"Alaska"	"02"	3600	1038678	346.59442
	"Arizona"	"04"	29463	7959744	370.15010
	"Arkansas"	"05"	19672	4106204	479.07995
	"California"	"06"	163121	53930950	302.46269
	"Colorado"	"08"	20733	7230404	286.74746
	"Connecticut"	"09"	17286	5512049	313.60389
	"Delaware"	"10"	4913	1253136	392.05641
	"District of Columbia"	"11"	5906	952514	620.04338
	"Florida"	"12"	103452	25205153	410.43988
	"Georgia"	"13"	55128	13458219	409.62329
	"Hawaii"	"15"	5956	1943665	306.43141
	"Idaho"	"16"	6043	1959781	308.35078
	"Illinois"	"17"	70204	19530955	359.44991
	"Indiana"	"18"	36261	9487582	382.19433
	"Iowa"	"19"	13363	4392262	304.23959
	"Kansas"	"20"	13800	4057771	340.08819
	"Kentucky"	"21"	29049	6467858	449.12860
	"Louisiana"	"22"	33944	6813447	498.19130
	"Maine"	"23"	6975	2080295	335.28899
	"Maryland"	"24"	33629	8784792	382.80929
	"Massachusetts"	"25"	31683	10306798	307.39906
	"Michigan"	"26"	59561	15640271	380.81821
	"Minnesota"	"27"	20594	7804900	263.85988
	"Mississippi"	"28"	22596	4271622	528.97939
	"Missouri"	"29"	35021	8707220	402.20644
	"Montana"	"30"	5135	1404590	365.58711
	"Nebraska"	"31"	7888	2580819	305.63941
	"Nevada"	"32"	14180	3413317	415.43168
	"New Hampshire"	"33"	5910	2056109	287.43612
	"New Jersey"	"34"	47208	13743574	343.49144
	"New Mexico"	"35"	10832	2787176	388.63710
	"New York"	"36"	104719	30413477	344.31775
	"North Carolina"	"37"	53109	13164065	403.43921
	"North Dakota"	"38"	2858	938251	304.60932
	"Ohio"	"39"	67962	17760077	382.66726
	"Oklahoma"	"40"	24346	5269081	462.05401
	"Oregon"	"41"	18501	5518040	335.28209
	"Pennsylvania"	"42"	73279	19102242	383.61466
	"Rhode Island"	"44"	5370	1642622	326.91636
	"South Carolina"	"45"	30569	6409817	476.90909
	"South Dakota"	"46"	3644	1107868	328.92005
	"Tennessee"	"47"	42608	9201979	463.03083
	"Texas"	"48"	117313	32799413	357.66799
	"Utah"	"49"	8440	3100468	272.21697
	"Vermont"	"50"	2976	988135	301.17342
	"Virginia"	"51"	40816	11778089	346.54179
	"Washington"	"53"	28990	9625329	301.18451
	"West Virginia"	"54"	13638	2871204	474.99237
	"Wisconsin"	"55"	26170	8397742	311.63139
	"Wyoming"	"56"	2833	776855	364.67552
"Total"			1635219	446693545	366.07178
