"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	793	7101098	11.167287
	"Alaska"	"02"	72	1075936	6.691848
	"Arizona"	"04"	917	8624316	10.632727
	"Arkansas"	"05"	388	4235191	9.161334
	"California"	"06"	4062	56104425	7.240071
	"Colorado"	"08"	335	7525689	4.451420
	"Connecticut"	"09"	184	5621396	3.273208
	"Delaware"	"10"	62	1316986	4.707719
	"District of Columbia"	"11"	285	956180	29.806103
	"Florida"	"12"	1899	27078131	7.013039
	"Georgia"	"13"	1244	14152071	8.790233
	"Hawaii"	"15"	48	2028472	2.366313
	"Idaho"	"16"	57	2090706	2.726352
	"Illinois"	"17"	1423	19849279	7.169026
	"Indiana"	"18"	599	9714415	6.166094
	"Iowa"	"19"	96	4456222	2.154291
	"Kansas"	"20"	199	4131532	4.816615
	"Kentucky"	"21"	403	6638562	6.070592
	"Louisiana"	"22"	1082	7001376	15.454105
	"Maine"	"23"	38	2140701	1.775119
	"Maryland"	"24"	894	9074026	9.852297
	"Massachusetts"	"25"	234	10392336	2.251659
	"Michigan"	"26"	1280	15799843	8.101346
	"Minnesota"	"27"	216	8034169	2.688517
	"Mississippi"	"28"	547	4376767	12.497809
	"Missouri"	"29"	663	8933431	7.421561
	"Montana"	"30"	54	1449470	3.725500
	"Nebraska"	"31"	74	2643048	2.799798
	"Nevada"	"32"	340	3832405	8.871714
	"New Hampshire"	"33"	41	2122454	1.931726
	"New Jersey"	"34"	750	14008462	5.353907
	"New Mexico"	"35"	287	2913679	9.850090
	"New York"	"36"	1551	30767963	5.040958
	"North Carolina"	"37"	1163	13782148	8.438452
	"North Dakota"	"38"	20	947849	2.110041
	"Ohio"	"39"	997	17985127	5.543469
	"Oklahoma"	"40"	404	5385798	7.501210
	"Oregon"	"41"	184	5750431	3.199760
	"Pennsylvania"	"42"	1201	19426873	6.182158
	"Rhode Island"	"44"	44	1685407	2.610645
	"South Carolina"	"45"	614	6681832	9.189097
	"South Dakota"	"46"	32	1140259	2.806380
	"Tennessee"	"47"	841	9503645	8.849236
	"Texas"	"48"	2685	34692035	7.739529
	"Utah"	"49"	93	3350074	2.776058
	"Vermont"	"50"	22	1004004	2.191226
	"Virginia"	"51"	760	12225746	6.216390
	"Washington"	"53"	408	10027899	4.068649
	"West Virginia"	"54"	173	2914532	5.935773
	"Wisconsin"	"55"	316	8634575	3.659705
	"Wyoming"	"56"	23	801580	2.869333
"Total"			31097	462130551	6.729051
