"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	112	87342	128.2
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	363	319342	113.7
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	64	40946	156.3
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	45	37744	119.2
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	127	88656	143.3
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	13	17188	Unreliable
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	41	29834	137.4
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	257	179498	143.2
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	79	52385	150.8
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	68	39382	172.7
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	95	68397	138.9
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	32	19575	163.5
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	46	36833	124.9
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	34	20515	165.7
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	37	22696	163.0
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	91	79808	114.0
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	124	84185	147.3
