"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	9903	7564245	130.91855
	"Alaska"	"02"	1093	1200871	91.01727
	"Arizona"	"04"	9234	10377705	88.97921
	"Arkansas"	"05"	5980	4544584	131.58520
	"California"	"06"	49942	63033985	79.23028
	"Colorado"	"08"	6660	9010369	73.91484
	"Connecticut"	"09"	4994	5691302	87.74794
	"Delaware"	"10"	1700	1486743	114.34390
	"District of Columbia"	"11"	1125	1207893	93.13739
	"Florida"	"12"	35463	31922133	111.09220
	"Georgia"	"13"	16954	16330976	103.81498
	"Hawaii"	"15"	1974	2239537	88.14322
	"Idaho"	"16"	2248	2506546	89.68517
	"Illinois"	"17"	20768	20389189	101.85790
	"Indiana"	"18"	12154	10223782	118.87969
	"Iowa"	"19"	5112	4704866	108.65347
	"Kansas"	"20"	4653	4374402	106.36882
	"Kentucky"	"21"	9766	6946429	140.59022
	"Louisiana"	"22"	9498	7341162	129.38006
	"Maine"	"23"	2611	2127854	122.70579
	"Maryland"	"24"	9761	9758442	100.02621
	"Massachusetts"	"25"	9704	10997406	88.23899
	"Michigan"	"26"	18032	15454685	116.67659
	"Minnesota"	"27"	7825	8697467	89.96872
	"Mississippi"	"28"	6542	4559504	143.48052
	"Missouri"	"29"	11320	9451876	119.76458
	"Montana"	"30"	1627	1591010	102.26209
	"Nebraska"	"31"	2802	2866649	97.74479
	"Nevada"	"32"	4326	4722797	91.59826
	"New Hampshire"	"33"	2291	2159336	106.09743
	"New Jersey"	"34"	12977	14443988	89.84361
	"New Mexico"	"35"	2987	3148743	94.86325
	"New York"	"36"	28898	31965583	90.40348
	"North Carolina"	"37"	17471	15927794	109.68876
	"North Dakota"	"38"	965	1140747	84.59369
	"Ohio"	"39"	22439	18133419	123.74390
	"Oklahoma"	"40"	7540	5961624	126.47560
	"Oregon"	"41"	6323	6509001	97.14240
	"Pennsylvania"	"42"	22315	20110967	110.95936
	"Rhode Island"	"44"	1739	1680621	103.47366
	"South Carolina"	"45"	9441	7684699	122.85452
	"South Dakota"	"46"	1270	1287191	98.66446
	"Tennessee"	"47"	13444	10463255	128.48774
	"Texas"	"48"	39109	43404987	90.10255
	"Utah"	"49"	2740	4394132	62.35589
	"Vermont"	"50"	1135	976799	116.19586
	"Virginia"	"51"	13342	13526425	98.63656
	"Washington"	"53"	10430	11764354	88.65765
	"West Virginia"	"54"	4232	2849467	148.51900
	"Wisconsin"	"55"	9060	9013013	100.52132
	"Wyoming"	"56"	811	908285	89.28915
"Total"			514730	508778839	101.16970
