"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	12302	7564245	162.633548
	"Alaska"	"02"	1012	1200871	84.272166
	"Arizona"	"04"	8345	10377705	80.412769
	"Arkansas"	"05"	7009	4544584	154.227538
	"California"	"06"	44059	63033985	69.897215
	"Colorado"	"08"	5471	9010369	60.718934
	"Connecticut"	"09"	3778	5691302	66.381998
	"Delaware"	"10"	1408	1486743	94.703658
	"District of Columbia"	"11"	1330	1207893	110.109091
	"Florida"	"12"	30121	31922133	94.357730
	"Georgia"	"13"	18900	16330976	115.730989
	"Hawaii"	"15"	1983	2239537	88.545088
	"Idaho"	"16"	1815	2506546	72.410401
	"Illinois"	"17"	18623	20389189	91.337620
	"Indiana"	"18"	11265	10223782	110.184274
	"Iowa"	"19"	4080	4704866	86.718729
	"Kansas"	"20"	4035	4374402	92.241179
	"Kentucky"	"21"	9882	6946429	142.260145
	"Louisiana"	"22"	10708	7341162	145.862467
	"Maine"	"23"	1762	2127854	82.806433
	"Maryland"	"24"	9132	9758442	93.580512
	"Massachusetts"	"25"	6556	10997406	59.614058
	"Michigan"	"26"	17834	15454685	115.395429
	"Minnesota"	"27"	5070	8697467	58.292834
	"Mississippi"	"28"	8043	4559504	176.400766
	"Missouri"	"29"	11206	9451876	118.558475
	"Montana"	"30"	1378	1591010	86.611649
	"Nebraska"	"31"	2134	2866649	74.442319
	"Nevada"	"32"	5513	4722797	116.731674
	"New Hampshire"	"33"	1518	2159336	70.299388
	"New Jersey"	"34"	10829	14443988	74.972369
	"New Mexico"	"35"	2706	3148743	85.939056
	"New York"	"36"	24954	31965583	78.065212
	"North Carolina"	"37"	15812	15927794	99.273007
	"North Dakota"	"38"	881	1140747	77.230096
	"Ohio"	"39"	20524	18133419	113.183289
	"Oklahoma"	"40"	9190	5961624	154.152627
	"Oregon"	"41"	4274	6509001	65.662918
	"Pennsylvania"	"42"	18980	20110967	94.376367
	"Rhode Island"	"44"	1211	1680621	72.056698
	"South Carolina"	"45"	10119	7684699	131.677246
	"South Dakota"	"46"	1114	1287191	86.545043
	"Tennessee"	"47"	14888	10463255	142.288418
	"Texas"	"48"	40541	43404987	93.401710
	"Utah"	"49"	2296	4394132	52.251503
	"Vermont"	"50"	758	976799	77.600407
	"Virginia"	"51"	11542	13526425	85.329272
	"Washington"	"53"	7754	11764354	65.910971
	"West Virginia"	"54"	3669	2849467	128.760923
	"Wisconsin"	"55"	7112	9013013	78.908130
	"Wyoming"	"56"	782	908285	86.096324
"Total"			476208	508778839	93.598232
