"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	37	87342	42.4
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	148	319342	46.3
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"NonCore (Nonmetro)"	"6"	Suppressed	40946	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Large Fringe Metro"	"2"	22	37744	58.3
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	62	88656	69.9
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"NonCore (Nonmetro)"	"6"	Suppressed	17188	Suppressed
	"Alabama"	"01"	"Butler County, AL"	"01013"	"NonCore (Nonmetro)"	"6"	Suppressed	29834	Suppressed
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	105	179498	58.5
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (Nonmetro)"	"5"	28	52385	53.5
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (Nonmetro)"	"6"	22	39382	55.9
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	28	68397	40.9
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"NonCore (Nonmetro)"	"6"	Suppressed	19575	Suppressed
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (Nonmetro)"	"6"	15	36833	Unreliable
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (Nonmetro)"	"6"	11	20515	Unreliable
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (Nonmetro)"	"6"	Suppressed	22696	Suppressed
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (Nonmetro)"	"5"	23	79808	28.8
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	25	84185	29.7
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"NonCore (Nonmetro)"	"6"	Suppressed	18451	Suppressed
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Micropolitan (Nonmetro)"	"5"	10	17507	Unreliable
	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (Nonmetro)"	"6"	22	56548	38.9
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"NonCore (Nonmetro)"	"6"	Suppressed	21133	Suppressed
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (Nonmetro)"	"5"	94	127522	73.7
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Micropolitan (Nonmetro)"	"5"	24	76700	31.3
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (Nonmetro)"	"5"	17	59504	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (Nonmetro)"	"6"	93	108657	85.6
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	50	132271	37.8
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (Nonmetro)"	"6"	47	59382	79.1
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Small Metro"	"4"	95	159590	59.5
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"NonCore (Nonmetro)"	"6"	17	24881	Unreliable
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"NonCore (Nonmetro)"	"6"	23	48227	47.7
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Small Metro"	"4"	19	40562	Unreliable
	"Alabama"	"01"	"Greene County, AL"	"01063"	"NonCore (Nonmetro)"	"6"	Suppressed	12420	Suppressed
	"Alabama"	"01"	"Hale County, AL"	"01065"	"Small Metro"	"4"	Suppressed	22091	Suppressed
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Small Metro"	"4"	11	25786	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Small Metro"	"4"	59	162223	36.4
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Micropolitan (Nonmetro)"	"5"	37	81163	45.6
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	697	1050045	66.4
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"NonCore (Nonmetro)"	"6"	Suppressed	20997	Suppressed
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Small Metro"	"4"	55	136790	40.2
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Small Metro"	"4"	28	52456	53.4
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Small Metro"	"4"	76	232505	32.7
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Medium Metro"	"3"	42	152712	27.5
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	"Medium Metro"	"3"	Suppressed	15714	Suppressed
	"Alabama"	"01"	"Macon County, AL"	"01087"	"NonCore (Nonmetro)"	"6"	Suppressed	25946	Suppressed
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Medium Metro"	"3"	283	577638	49.0
	"Alabama"	"01"	"Marengo County, AL"	"01091"	"NonCore (Nonmetro)"	"6"	Suppressed	29081	Suppressed
	"Alabama"	"01"	"Marion County, AL"	"01093"	"NonCore (Nonmetro)"	"6"	13	45727	Unreliable
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Micropolitan (Nonmetro)"	"5"	78	143779	54.2
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	306	642802	47.6
	"Alabama"	"01"	"Monroe County, AL"	"01099"	"NonCore (Nonmetro)"	"6"	16	32275	Unreliable
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	82	354685	23.1
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Small Metro"	"4"	96	187242	51.3
	"Alabama"	"01"	"Perry County, AL"	"01105"	"NonCore (Nonmetro)"	"6"	Suppressed	12774	Suppressed
	"Alabama"	"01"	"Pickens County, AL"	"01107"	"Small Metro"	"4"	11	32676	Unreliable
	"Alabama"	"01"	"Pike County, AL"	"01109"	"Micropolitan (Nonmetro)"	"5"	Suppressed	42950	Suppressed
	"Alabama"	"01"	"Randolph County, AL"	"01111"	"NonCore (Nonmetro)"	"6"	18	33767	Unreliable
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Medium Metro"	"3"	38	92600	41.0
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Large Fringe Metro"	"2"	94	141593	66.4
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Large Fringe Metro"	"2"	166	340619	48.7
	"Alabama"	"01"	"Sumter County, AL"	"01119"	"NonCore (Nonmetro)"	"6"	Suppressed	17050	Suppressed
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Micropolitan (Nonmetro)"	"5"	59	127421	46.3
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"NonCore (Nonmetro)"	"6"	21	61736	34.0
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	135	304828	44.3
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Large Fringe Metro"	"2"	61	99377	61.4
	"Alabama"	"01"	"Washington County, AL"	"01129"	"NonCore (Nonmetro)"	"6"	10	25490	Unreliable
	"Alabama"	"01"	"Wilcox County, AL"	"01131"	"NonCore (Nonmetro)"	"6"	Suppressed	15579	Suppressed
	"Alabama"	"01"	"Winston County, AL"	"01133"	"NonCore (Nonmetro)"	"6"	Suppressed	36447	Suppressed
